Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",25y 350d,56 (38-0-18 67.86%),9 (0.16),←,
24,"Bews, Jed",27y 263d,127 (77-2-48 61.42%),15 (0.12),←,
46,"Blicavs, Mark",30y 159d,202 (134-2-66 66.83%),44 (0.22),←,
5,"Cameron, Jeremy",28y 155d,185 (87-3-95 47.84%),464 (2.51),14 (10-0-4 71.43%),37 (2.64)
45,"Close, Brad",23y 35d,29 (21-0-8 72.41%),17 (0.59),←,
35,"Dangerfield, Patrick",31y 151d,284 (167-1-116 58.98%),308 (1.08),130 (86-1-43 66.54%),145 (1.12)
22,"Duncan, Mitch",30y 85d,235 (168-1-66 71.70%),167 (0.71),←,
29,"Guthrie, Cameron",29y 15d,204 (134-2-68 66.18%),63 (0.31),←,
39,"Guthrie, Zach",23y 65d,32 (19-1-12 60.94%),2 (0.06),←,
26,"Hawkins, Tom",33y 44d,301 (214-2-85 71.43%),664 (2.21),←,
25,"Henderson, Lachie",31y 263d,205 (109-2-94 53.66%),117 (0.57),88 (59-1-28 67.61%),13 (0.15)
38,"Henry, Jack",23y 5d,89 (59-0-30 66.29%),16 (0.18),←,
9,"Holmes, Max",19y 5d,11 (8-0-3 72.73%),1 (0.09),←,
8,"Kolodjashnij, Jake",26y 25d,131 (86-2-43 66.41%),1 (0.01),←,
27,"Menegola, Sam",29y 180d,108 (70-1-37 65.28%),76 (0.70),←,
32,"Miers, Gryan",22y 157d,60 (40-0-20 66.67%),58 (0.97),←,
3,"Parfitt, Brandan",23y 129d,95 (67-0-28 70.53%),41 (0.43),←,
17,"Ratugolea, Esava",23y 41d,54 (39-0-15 72.22%),38 (0.70),←,
23,"Rohan, Gary",30y 88d,164 (110-1-53 67.38%),175 (1.07),58 (40-0-18 68.97%),79 (1.36)
14,"Selwood, Joel",33y 100d,333 (242-1-90 72.82%),168 (0.50),←,
7,"Smith, Isaac",32y 247d,233 (161-1-71 69.31%),179 (0.77),23 (17-0-6 73.91%),14 (0.61)
1,"Stanley, Rhys",30y 276d,162 (90-1-71 55.86%),101 (0.62),104 (69-1-34 66.83%),61 (0.59)
2,"Tuohy, Zach",31y 267d,225 (116-2-107 52.00%),78 (0.35),105 (68-1-36 65.24%),38 (0.36)
Totals,Totals,27y 294d,3525 (2256-25-1244 64.00%),2802 (0.79),,
C,"Scott, Chris",45y 123d,260 (179-2-79 69.23%),,←,
