Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 186d,24 (6-0-18 25.00%),16 (0.67),←,
22,"Bain, David",24y 332d,43 (11-0-32 25.58%),29 (0.67),←,
8,"Cameron, David",26y 360d,42 (22-0-20 52.38%),73 (1.74),1 (0-0-1 0.00%),2 (2.00)
1,"Champion, Richard",22y 350d,1 (0-0-1 0.00%),,←,
12,"Clarke, Troy",21y 295d,1 (0-0-1 0.00%),,←,
2,"Curran, Peter",28y 258d,110 (81-0-29 73.64%),197 (1.79),1 (0-0-1 0.00%),1 (1.00)
4,"Gastev, John",26y 231d,70 (28-0-42 40.00%),55 (0.79),40 (11-0-29 27.50%),24 (0.60)
14,"Hamilton, Shane",20y 224d,28 (12-0-16 42.86%),41 (1.46),1 (0-0-1 0.00%),1 (1.00)
5,"Hardie, Brad",28y 171d,129 (50-0-79 38.76%),178 (1.38),82 (22-0-60 26.83%),150 (1.83)
17,"Leslie, Martin",28y 133d,34 (9-0-25 26.47%),3 (0.09),←,
16,"Lester-Smith, Rod",31y 255d,104 (60-1-43 58.17%),37 (0.36),34 (8-0-26 23.53%),14 (0.41)
7,"McIvor, Scott",24y 233d,121 (45-0-76 37.19%),46 (0.38),66 (19-0-47 28.79%),31 (0.47)
19,"McLean, Michael",26y 27d,96 (47-2-47 50.00%),23 (0.24),1 (0-0-1 0.00%),
24,"Merrett, Roger",30y 345d,206 (113-2-91 55.34%),225 (1.09),57 (16-0-41 28.07%),77 (1.35)
39,"Millar, Jason",20y 212d,1 (0-0-1 0.00%),,←,
28,"OBrien, Cameron",24y 183d,34 (12-0-22 35.29%),40 (1.18),33 (12-0-21 36.36%),40 (1.21)
34,"Ogg, David",23y 127d,1 (0-0-1 0.00%),,←,
31,"OKeeffe, David",29y 38d,115 (44-0-71 38.26%),47 (0.41),65 (18-0-47 27.69%),25 (0.38)
46,"Wearne, David",20y 324d,9 (2-0-7 22.22%),1 (0.11),←,
21,"Zanotti, Mark",26y 142d,69 (25-0-44 36.23%),7 (0.10),33 (8-0-25 24.24%),1 (0.03)
Totals,Totals,25y 130d,1238 (567-5-666 45.80%),1018 (0.82),,
C,"Walls, Robert",40y 252d,200 (115-1-84 57.75%),,1 (0-0-1 0.00%),
