Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 303d,78 (17-1-60 22.44%),50 (0.64),←,
30,"Bourke, Damian",28y 187d,107 (59-1-47 55.61%),18 (0.17),5 (1-0-4 20.00%),3 (0.60)
11,"Buckley, Nathan",20y 364d,16 (4-0-12 25.00%),17 (1.06),←,
1,"Champion, Richard",25y 102d,53 (10-1-42 19.81%),25 (0.47),←,
5,"Chapman, Nathan",18y 79d,16 (4-0-12 25.00%),6 (0.38),←,
12,"Clarke, Troy",24y 47d,44 (8-1-35 19.32%),17 (0.39),←,
6,"Fletcher, Adrian",23y 288d,61 (29-0-32 47.54%),31 (0.51),16 (4-0-12 25.00%),11 (0.69)
32,"Hart, Shaun",22y 69d,44 (9-1-34 21.59%),10 (0.23),←,
41,"Kennedy, Matthew",23y 171d,53 (10-0-43 18.87%),13 (0.25),←,
31,"McCormack, Brendan",23y 27d,52 (18-0-34 34.62%),35 (0.67),8 (3-0-5 37.50%),8 (1.00)
7,"McIvor, Scott",26y 350d,141 (50-0-91 35.46%),62 (0.44),86 (24-0-62 27.91%),47 (0.55)
19,"McLean, Michael",28y 144d,135 (54-2-79 40.74%),37 (0.27),40 (7-0-33 17.50%),14 (0.35)
40,"McLuckie, Steven",20y 163d,18 (5-1-12 30.56%),8 (0.44),←,
24,"Merrett, Roger",33y 97d,257 (123-3-131 48.44%),318 (1.24),108 (26-1-81 24.54%),170 (1.57)
26,"Noonan, Danny",24y 238d,52 (10-1-41 20.19%),19 (0.37),←,
15,"Spargo, Paul",26y 289d,88 (40-2-46 46.59%),117 (1.33),7 (3-0-4 42.86%),8 (1.14)
3,"Voss, Michael",18y 18d,19 (6-0-13 31.58%),9 (0.47),←,
33,"White, Darryl",20y 43d,27 (6-1-20 24.07%),27 (1.00),←,
28,"Windsor, Ray",20y 348d,22 (3-1-18 15.91%),22 (1.00),←,
18,"Worsfold, Peter",23y 14d,28 (3-1-24 12.50%),23 (0.82),←,
Totals,Totals,23y 258d,1311 (468-17-826 35.70%),864 (0.66),,
C,"Walls, Robert",43y 4d,259 (126-2-131 49.03%),,60 (11-1-48 19.17%),
