Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
24,"Blee, Nathan",22y 344d,6 (1-1-4 25.00%),,←,
1,"Boak, Travis",25y 16d,127 (53-1-73 42.13%),71 (0.56),←,
5,"Broadbent, Matthew",23y 16d,75 (26-1-48 35.33%),36 (0.48),←,
27,"Carlile, Alipate",26y 109d,130 (52-1-77 40.38%),5 (0.04),←,
18,"Cornes, Kane",30y 224d,264 (132-2-130 50.38%),91 (0.34),←,
7,"Ebert, Brad",23y 137d,118 (45-1-72 38.56%),57 (0.48),42 (17-1-24 41.67%),24 (0.57)
9,"Gray, Robbie",25y 140d,87 (34-0-53 39.08%),117 (1.34),←,
8,"Hartlett, Hamish",23y 3d,66 (24-1-41 37.12%),34 (0.52),←,
3,"Heath, Campbell",22y 138d,13 (7-0-6 53.85%),3 (0.23),11 (7-0-4 63.64%),3 (0.27)
2,"Hitchcock, Cameron",23y 45d,35 (10-0-25 28.57%),31 (0.89),←,
42,"Jonas, Tom",22y 220d,30 (12-1-17 41.67%),,←,
23,"Lobbe, Matthew",24y 186d,39 (16-0-23 41.03%),9 (0.23),←,
6,"Monfries, Angus",26y 210d,170 (70-3-97 42.06%),200 (1.18),20 (12-0-8 60.00%),35 (1.75)
26,"Moore, Andrew",22y 79d,37 (16-0-21 43.24%),13 (0.35),←,
13,"OShea, Cameron",21y 157d,42 (16-0-26 38.10%),7 (0.17),←,
29,"Pittard, Jasper",22y 138d,27 (13-0-14 48.15%),5 (0.19),←,
28,"Schulz, Jay",28y 121d,138 (51-3-84 38.04%),203 (1.47),67 (27-1-39 41.04%),145 (2.16)
12,"Trengove, Jackson",22y 288d,74 (24-1-49 33.11%),7 (0.09),←,
39,"Westhoff, Justin",26y 320d,130 (53-1-76 41.15%),169 (1.30),←,
16,"Wines, Ollie",18y 314d,20 (12-0-8 60.00%),6 (0.30),←,
20,"Wingard, Chad",20y 19d,39 (17-1-21 44.87%),47 (1.21),←,
40,"Young, Aaron",20y 254d,13 (2-1-10 19.23%),5 (0.38),←,
Totals,Totals,23y 274d,1680 (686-19-975 40.83%),1116 (0.66),,
C,"Hinkley, Ken",46y 321d,19 (12-0-7 63.16%),,←,
