Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
25,"Brown, Nathan",23y 322d,9 (3-0-6 33.33%),,←,
32,"Bruce, Cameron",20y 275d,14 (7-0-7 50.00%),15 (1.07),←,
33,"Farmer, Jeff",23y 7d,96 (38-0-58 39.58%),198 (2.06),←,
21,"Febey, Steven",30y 317d,234 (118-0-116 50.43%),33 (0.14),←,
18,"Green, Brad",19y 110d,12 (7-0-5 58.33%),13 (1.08),←,
4,"Grgic, Brent",20y 267d,57 (24-0-33 42.11%),27 (0.47),←,
27,"Ingerson, Anthony",30y 262d,140 (56-0-84 40.00%),40 (0.29),103 (40-0-63 38.83%),15 (0.15)
16,"Johnstone, Travis",19y 350d,34 (13-0-21 38.24%),28 (0.82),←,
36,"Leoncelli, Andrew",25y 350d,81 (34-0-47 41.98%),30 (0.37),←,
35,"McDonald, Anthony",28y 18d,71 (30-0-41 42.25%),29 (0.41),←,
23,"McDonald, James",23y 270d,56 (28-0-28 50.00%),23 (0.41),←,
44,"Nicholson, Alistair",22y 119d,22 (10-0-12 45.45%),,←,
14,"Pitt, Steven",26y 345d,16 (9-0-7 56.25%),16 (1.00),3 (2-0-1 66.67%),2 (0.67)
7,"Powell, Stephen",23y 298d,47 (28-1-18 60.64%),37 (0.79),17 (9-0-8 52.94%),16 (0.94)
43,"Rigoni, Guy",25y 340d,62 (31-0-31 50.00%),21 (0.34),←,
24,"Robertson, Russell",21y 220d,49 (24-0-25 48.98%),63 (1.29),←,
5,"Schwarz, David",27y 343d,131 (56-1-74 43.13%),202 (1.54),←,
31,"Wheatley, Paul",19y 80d,10 (7-0-3 70.00%),4 (0.40),←,
45,"Whelan, Matthew",20y 231d,14 (8-0-6 57.14%),,←,
34,"White, Jeff",23y 133d,92 (42-0-50 45.65%),55 (0.60),60 (29-0-31 48.33%),37 (0.62)
22,"Woewodin, Shane",23y 355d,86 (35-0-51 40.70%),35 (0.41),←,
13,"Yze, Adem",22y 284d,111 (45-0-66 40.54%),59 (0.53),←,
Totals,Totals,23y 324d,1444 (653-2-789 45.22%),928 (0.64),,
C,"Daniher, Neale",39y 137d,64 (31-0-33 48.44%),,←,
