Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",26y 270d,138 (55-2-81 40.58%),37 (0.27),←,
18,"Banfield, Todd",22y 44d,53 (13-0-40 24.53%),57 (1.08),←,
17,"Beams, Claye",20y 345d,10 (1-0-9 10.00%),8 (0.80),←,
43,"Bewick, Rohan",22y 306d,25 (9-0-16 36.00%),17 (0.68),←,
20,"Black, Simon",33y 130d,311 (168-4-139 54.66%),167 (0.54),←,
16,"Brown, Jonathan",30y 287d,227 (132-3-92 58.81%),534 (2.35),←,
6,"Green, Josh",19y 353d,14 (6-0-8 42.86%),11 (0.79),←,
11,"Hanley, Pearce",23y 270d,53 (14-0-39 26.42%),12 (0.23),←,
2,"Harwood, Ryan",21y 4d,26 (7-0-19 26.92%),4 (0.15),←,
22,"Hudson, Ben",33y 169d,158 (92-1-65 58.54%),17 (0.11),15 (6-0-9 40.00%),2 (0.13)
35,"Lester, Ryan",19y 351d,19 (7-0-12 36.84%),5 (0.26),←,
19,"Lisle, Jordan",22y 30d,7 (4-0-3 57.14%),1 (0.14),2 (0-0-2 0.00%),
21,"Merrett, Daniel",27y 243d,132 (54-3-75 42.05%),43 (0.33),←,
24,"Patfull, Joel",27y 248d,136 (53-3-80 40.07%),21 (0.15),←,
31,"Polkinghorne, James",23y 203d,78 (28-1-49 36.54%),46 (0.59),←,
29,"Raines, Andrew",26y 156d,98 (30-1-67 31.12%),7 (0.07),42 (12-0-30 28.57%),6 (0.14)
30,"Redden, Jack",21y 246d,73 (24-1-48 33.56%),33 (0.45),←,
10,"Rich, Daniel",22y 65d,79 (29-1-49 37.34%),48 (0.61),←,
38,"Rockliff, Tom",22y 171d,59 (15-0-44 25.42%),33 (0.56),←,
48,"Wrigley, Stephen",25y 115d,3 (0-0-3 0.00%),,←,
26,"Yeo, Elliot",18y 315d,6 (1-0-5 16.67%),,←,
15,"Zorko, Dayne",23y 184d,13 (5-0-8 38.46%),13 (1.00),←,
Totals,Totals,24y 138d,1718 (747-20-951 43.48%),1114 (0.65),,
C,"Voss, Michael",37y 35d,87 (32-1-54 37.36%),,←,
