West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Clape, Matt",16,2,5,21,,,1.0,4.0,,,,,3.0,3.0,,,,,,,,,
23,"Harding, Paul",8,4,1,9,,,20.0,1.0,,,,,,1.0,,,,,,,,,
36,"Hart, David",14,1,3,17,,,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Hynes, David",6,2,3,9,2,1.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,,
27,"Jakovich, Glen",15,5,11,26,,,5.0,2.0,,,,,3.0,4.0,2.0,,,,,,,,
2,"Kemp, Dean",8,2,4,12,,,,1.0,,,,,2.0,,,,,,,,,,
5,"Lamb, Dwayne",19,4,2,21,1,2.0,,1.0,,,,,2.0,2.0,,,,,,,,,
19,"Langdon, Karl",7,2,7,14,2,1.0,,1.0,,,,,4.0,6.0,,,,,,,,,
28,"Lewis, Chris",13,1,2,15,,,,2.0,,,,,2.0,2.0,,,,,,,,,
3,"Mainwaring, Chris",15,6,5,20,1,1.0,,2.0,,,,,4.0,,3.0,,,,,,,,
30,"Matera, Peter",11,4,3,14,1,,,3.0,,,,,3.0,,,,,,,,,,
11,"McIntosh, Ashley",5,3,9,14,,,,2.0,,,,,2.0,3.0,,,,,,,,,
17,"McKenna, Guy",,,3,3,,,,1.0,,,,,,,,,,,,,,,
6,"Peos, Paul",9,,3,12,1,3.0,,3.0,,,,,1.0,3.0,,,,,,,,,
4,"Sumich, Peter",7,8,1,8,5,2.0,,,,,,,2.0,1.0,,,,,,,,,
7,"Turley, Craig",10,5,5,15,,2.0,,,,,,,1.0,3.0,,,,,,,,,
39,"Waterman, Chris",13,4,1,14,,,,2.0,,,,,2.0,1.0,,,,,,,,,
13,"Watters, Scott",8,1,5,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
31,"White, Mitchell",6,1,1,7,1,,,2.0,,,,,3.0,2.0,,,,,,,,,
9,"Wilson, Peter",14,4,4,18,1,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,59,78,282,15,19.0,29.0,31.0,,,,,39.0,37.0,5.0,,,,,,,,
Opposition,Opposition,185,53,98,283,13,9.0,41.0,27.0,,,,,37.0,39.0,1.0,,,,,,,,
