Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
16,"Brown, Leigh",22y 103d,96 (35-1-60 36.98%),40 (0.42),33 (16-1-16 50.00%),20 (0.61)
2,"Colbert, Leigh",28y 364d,181 (102-2-77 56.91%),64 (0.35),76 (40-1-35 53.29%),14 (0.18)
24,"Firrito, Michael",20y 191d,10 (5-0-5 50.00%),3 (0.30),←,
6,"Grant, Shannon",27y 47d,203 (117-2-84 58.13%),221 (1.09),145 (85-1-59 58.97%),183 (1.26)
39,"Harding, Leigh",23y 40d,47 (24-1-22 52.13%),73 (1.55),←,
4,"Harris, Daniel",22y 26d,36 (18-1-17 51.39%),11 (0.31),←,
29,"Harvey, Brent",26y 22d,161 (96-1-64 59.94%),194 (1.20),←,
34,"King, David",32y 90d,230 (140-1-89 61.09%),144 (0.63),←,
35,"Makepeace, Troy",25y 91d,94 (48-1-45 51.60%),23 (0.24),←,
5,"McKernan, Corey",30y 169d,232 (129-0-103 55.60%),303 (1.31),191 (123-0-68 64.40%),243 (1.27)
19,"Motlop, Daniel",22y 81d,33 (12-1-20 37.88%),38 (1.15),←,
20,"Petrie, Drew",21y 234d,52 (24-1-27 47.12%),50 (0.96),←,
17,"Porter, Mark",27y 238d,103 (53-1-49 51.94%),20 (0.19),48 (25-1-22 53.13%),7 (0.15)
3,"Rawlings, Brady",22y 361d,81 (46-0-35 56.79%),35 (0.43),←,
26,"Rocca, Saverio",30y 198d,217 (100-3-114 46.77%),650 (3.00),61 (30-1-30 50.00%),136 (2.23)
32,"Sansbury, Eddie",20y 192d,9 (4-0-5 44.44%),1 (0.11),←,
7,"Simpson, Adam",28y 110d,191 (118-1-72 62.04%),65 (0.34),←,
10,"Stevens, Anthony",32y 339d,281 (168-1-112 59.96%),126 (0.45),←,
12,"Stevens, Michael",23y 211d,30 (15-0-15 50.00%),5 (0.17),13 (7-0-6 53.85%),2 (0.15)
1,"Watson, Ashley",20y 71d,6 (4-0-2 66.67%),1 (0.17),←,
36,"Watt, Shannon",23y 192d,58 (29-1-28 50.86%),4 (0.07),←,
8,"Wells, Daniel",19y 123d,29 (15-1-13 53.45%),16 (0.55),←,
Totals,Totals,25y 26d,2380 (1302-20-1058 54.71%),2087 (0.88),,
C,"Laidley, Dani",37y 70d,33 (16-1-16 50.00%),,←,
