Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",27y 187d,98 (57-2-39 59.18%),109 (1.11),←,
16,"Barnard, Paul",26y 90d,54 (27-0-27 50.00%),13 (0.24),43 (24-0-19 55.81%),9 (0.21)
20,"Berbakov, Peter",25y 265d,52 (30-1-21 58.65%),14 (0.27),←,
8,"Bewick, Darren",31y 266d,203 (121-1-81 59.85%),306 (1.51),←,
32,"Blumfield, Justin",21y 171d,54 (28-0-26 51.85%),25 (0.46),←,
33,"Caracella, Blake",22y 60d,41 (20-0-21 48.78%),39 (0.95),←,
22,"Doolan, Ben",26y 124d,97 (44-3-50 46.91%),11 (0.11),72 (37-2-33 52.78%),7 (0.10)
36,"Eastaugh, Simon",25y 336d,16 (7-0-9 43.75%),1 (0.06),←,
11,"Hardwick, Damien",26y 269d,94 (51-1-42 54.79%),12 (0.13),←,
18,"Lloyd, Matthew",21y 28d,67 (33-1-33 50.00%),195 (2.91),←,
13,"Long, Michael",29y 225d,145 (92-2-51 64.14%),116 (0.80),←,
25,"Lucas, Scott",21y 135d,67 (35-0-32 52.24%),91 (1.36),←,
2,"Mercuri, Mark",25y 82d,117 (70-3-44 61.11%),162 (1.38),←,
24,"Misiti, Joe",24y 186d,127 (71-4-52 57.48%),48 (0.38),←,
29,"Moorcroft, Gary",23y 28d,33 (17-0-16 51.52%),30 (0.91),←,
15,"Prior, Michael",25y 250d,58 (28-1-29 49.14%),17 (0.29),←,
9,"Ramanauskas, Adam",18y 176d,1 (0-0-1 0.00%),,←,
43,"Rioli, Dean",20y 359d,5 (3-0-2 60.00%),6 (1.20),←,
7,"Solomon, Dean",19y 125d,12 (3-0-9 25.00%),2 (0.17),←,
12,"Symons, Michael",27y 240d,103 (60-3-40 59.71%),80 (0.78),←,
21,"Wallis, Dean",29y 260d,95 (54-1-40 57.37%),29 (0.31),←,
6,"Wellman, Sean",24y 236d,95 (43-2-50 46.32%),14 (0.15),61 (30-1-30 50.00%),5 (0.08)
Totals,Totals,24y 286d,1634 (894-25-715 54.71%),1320 (0.81),,
C,"Sheedy, Kevin",51y 141d,431 (268-5-158 62.76%),,←,
