Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",22y 212d,47 (30-1-16 64.89%),9 (0.19),←,
21,"Akermanis, Jason",33y 72d,322 (195-6-121 61.49%),420 (1.30),74 (44-2-28 60.81%),113 (1.53)
5,"Boyd, Matthew",27y 253d,145 (73-2-70 51.03%),52 (0.36),←,
17,"Cooney, Adam",24y 219d,142 (74-2-66 52.82%),129 (0.91),←,
4,"Cross, Daniel",27y 38d,140 (69-3-68 50.36%),25 (0.18),←,
3,"Everitt, Andrejs",21y 55d,31 (18-1-12 59.68%),7 (0.23),←,
13,"Giansiracusa, Daniel",28y 57d,175 (80-4-91 46.86%),180 (1.03),←,
9,"Gilbee, Lindsay",28y 303d,171 (86-2-83 50.88%),101 (0.59),←,
1,"Grant, Jarrad",20y 305d,4 (2-0-2 50.00%),3 (0.75),←,
16,"Griffen, Ryan",23y 284d,104 (60-1-43 58.17%),57 (0.55),←,
8,"Hahn, Mitch",28y 362d,169 (82-2-85 49.11%),158 (0.93),←,
28,"Hall, Barry",33y 88d,257 (130-3-124 51.17%),631 (2.46),7 (4-0-3 57.14%),20 (2.86)
40,"Harbrow, Jarrod",21y 293d,55 (31-1-23 57.27%),21 (0.38),←,
25,"Hargrave, Ryan",28y 285d,170 (81-4-85 48.82%),35 (0.21),←,
7,"Higgins, Shaun",22y 64d,59 (33-1-25 56.78%),72 (1.22),←,
20,"Hill, Josh",21y 108d,47 (30-1-16 64.89%),57 (1.21),←,
15,"Hudson, Ben",31y 72d,109 (67-1-41 61.93%),10 (0.09),54 (35-1-18 65.74%),4 (0.07)
36,"Lake, Brian",28y 69d,154 (74-2-78 48.70%),18 (0.12),←,
38,"Morris, Dale",27y 129d,118 (69-2-47 59.32%),2 (0.02),←,
2,"Murphy, Robert",27y 332d,174 (77-4-93 45.40%),142 (0.82),←,
18,"Stack, Brennan",21y 346d,4 (3-0-1 75.00%),5 (1.25),←,
12,"Williams, Tom",23y 294d,40 (22-1-17 56.25%),1 (0.03),←,
Totals,Totals,26y 43d,2637 (1386-44-1207 52.56%),2135 (0.81),,
C,"Eade, Rodney",52y 33d,277 (151-4-122 55.23%),,125 (70-2-53 56.80%),
