Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",22y 265d,34 (14-0-20 41.18%),2 (0.06),←,
25,"Beinke, Bryan",24y 24d,11 (4-0-7 36.36%),8 (0.73),←,
26,"Bickley, Mark",30y 25d,185 (91-0-94 49.19%),60 (0.32),←,
18,"Bond, Troy",26y 46d,94 (55-0-39 58.51%),77 (0.82),58 (29-0-29 50.00%),51 (0.88)
14,"Connell, Matthew",27y 26d,86 (37-0-49 43.02%),25 (0.29),83 (35-0-48 42.17%),25 (0.30)
38,"Gallagher, David",19y 24d,12 (6-0-6 50.00%),2 (0.17),←,
37,"Golding, Matthew",18y 242d,7 (2-0-5 28.57%),,←,
36,"Goodwin, Simon",22y 246d,50 (29-0-21 58.00%),14 (0.28),←,
34,"Hart, Ben",25y 51d,180 (89-1-90 49.72%),34 (0.19),←,
1,"Herbert, Lucas",21y 350d,14 (5-0-9 35.71%),1 (0.07),←,
11,"James, Brett",26y 257d,104 (51-1-52 49.52%),46 (0.44),62 (34-0-28 54.84%),20 (0.32)
35,"Jameson, Rod",29y 60d,153 (78-1-74 51.31%),113 (0.74),←,
3,"Jarman, Darren",32y 213d,196 (112-0-84 57.14%),310 (1.58),87 (47-0-40 54.02%),188 (2.16)
27,"Liptak, Matthew",29y 121d,116 (57-1-58 49.57%),128 (1.10),←,
16,"McGregor, Ken",18y 212d,9 (3-0-6 33.33%),5 (0.56),←,
23,"McLeod, Andrew",23y 25d,101 (51-0-50 50.50%),98 (0.97),←,
21,"Ormond-Allen, Trent",23y 79d,50 (26-0-24 52.00%),3 (0.06),42 (22-0-20 52.38%),2 (0.05)
32,"Ricciuto, Mark",24y 82d,149 (70-1-78 47.32%),92 (0.62),←,
7,"Smart, Nigel",30y 100d,187 (90-1-96 48.40%),97 (0.52),←,
19,"Stevens, Mark",23y 308d,62 (36-0-26 58.06%),39 (0.63),41 (20-0-21 48.78%),19 (0.46)
29,"Thiessen, James",25y 200d,49 (21-0-28 42.86%),24 (0.49),42 (21-0-21 50.00%),21 (0.50)
30,"Vardy, Peter",23y 215d,60 (31-0-29 51.67%),93 (1.55),←,
Totals,Totals,24y 327d,1909 (958-6-945 50.18%),1271 (0.67),,
C,"Blight, Malcolm",49y 194d,235 (136-0-99 57.87%),,74 (41-0-33 55.41%),
