Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",29y 256d,139 (91-1-47 65.83%),20 (0.14),←,
46,"Blicavs, Mark",34y 65d,281 (185-3-93 66.37%),75 (0.27),←,
5,"Cameron, Jeremy",32y 61d,266 (140-3-123 53.20%),686 (2.58),95 (63-0-32 66.32%),259 (2.73)
40,"Clohesy, Ted",20y 268d,11 (6-0-5 54.55%),2 (0.18),←,
45,"Close, Brad",26y 306d,113 (76-1-36 67.70%),98 (0.87),←,
16,"De Koning, Sam",24y 95d,74 (50-1-23 68.24%),6 (0.08),←,
28,"Dempsey, Oliver",22y 145d,44 (27-0-17 61.36%),43 (0.98),←,
22,"Duncan, Mitch",33y 356d,301 (213-2-86 71.10%),185 (0.61),←,
39,"Guthrie, Zach",26y 336d,114 (72-2-40 64.04%),15 (0.13),←,
38,"Henry, Jack",26y 276d,150 (100-1-49 67.00%),24 (0.16),←,
36,"Henry, Oliver",22y 307d,82 (47-1-34 57.93%),118 (1.44),57 (33-1-23 58.77%),90 (1.58)
9,"Holmes, Max",22y 276d,88 (56-1-31 64.20%),40 (0.45),←,
17,"Humphries, Lawson",22y 128d,22 (16-0-6 72.73%),2 (0.09),←,
7,"Mannagh, Shaun",27y 299d,21 (16-0-5 76.19%),27 (1.29),←,
32,"Miers, Gryan",26y 63d,141 (92-1-48 65.60%),104 (0.74),←,
34,"Mullin, Oisin",25y 110d,29 (15-0-14 51.72%),,←,
33,"Neale, Shannon",22y 311d,32 (20-0-12 62.50%),38 (1.19),←,
42,"OConnor, Mark",28y 135d,134 (88-0-46 65.67%),10 (0.07),←,
14,"OSullivan, Connor",20y 13d,12 (8-0-4 66.67%),,←,
3,"Smith, Bailey",24y 176d,114 (67-0-47 58.77%),49 (0.43),11 (8-0-3 72.73%),5 (0.45)
1,"Stanley, Rhys",34y 182d,217 (127-2-88 58.99%),112 (0.52),159 (106-2-51 67.30%),72 (0.45)
18,"Stengle, Tyson",26y 225d,97 (57-1-39 59.28%),156 (1.61),81 (52-1-28 64.81%),141 (1.74)
44,"Stewart, Tom",32y 78d,178 (116-1-61 65.45%),5 (0.03),←,
Totals,Totals,26y 258d,2660 (1685-21-954 63.35%),1815 (0.68),,
C,"Scott, Chris",49y 29d,346 (234-3-109 68.06%),,←,
