West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
6,"Banfield, Drew",31y 83d,235 (135-3-97 58.09%),73 (0.31),←,
10,"Braun, Michael",27y 58d,146 (73-2-71 50.68%),47 (0.32),←,
26,"Butler, Sam",19y 127d,20 (15-0-5 75.00%),2 (0.10),←,
17,"Chick, Daniel",29y 100d,194 (102-4-88 53.61%),181 (0.93),45 (28-2-15 64.44%),22 (0.49)
9,"Cousins, Ben",26y 325d,193 (100-3-90 52.59%),167 (0.87),←,
20,"Cox, Dean",23y 293d,87 (44-1-42 51.15%),34 (0.39),←,
32,"Embley, Andrew",23y 328d,100 (50-1-49 50.50%),99 (0.99),←,
7,"Fletcher, Chad",25y 264d,107 (51-3-53 49.07%),57 (0.53),←,
1,"Gardiner, Michael",25y 320d,120 (60-2-58 50.83%),80 (0.67),←,
23,"Glass, Darren",24y 7d,80 (38-2-40 48.75%),6 (0.08),←,
29,"Hansen, Ashley",22y 79d,15 (12-0-3 80.00%),22 (1.47),←,
39,"Hunter, Adam",23y 337d,72 (37-2-33 52.78%),15 (0.21),←,
38,"Jones, Brett",22y 288d,17 (12-0-5 70.59%),2 (0.12),←,
4,"Kerr, Daniel",22y 5d,90 (42-2-46 47.78%),58 (0.64),←,
21,"Lynch, Quinten",22y 117d,42 (25-0-17 59.52%),34 (0.81),←,
33,"Matera, Phillip",29y 175d,168 (83-3-82 50.30%),361 (2.15),←,
25,"McConnell, Daniel",18y 334d,2 (1-0-1 50.00%),,←,
31,"Nicoski, Mark",21y 178d,16 (9-0-7 56.25%),1 (0.06),←,
28,"Sampi, Ashley",21y 120d,56 (31-2-23 57.14%),75 (1.34),←,
41,"Staker, Brent",20y 363d,30 (17-1-12 58.33%),9 (0.30),←,
5,"Stenglein, Tyson",24y 309d,114 (63-0-51 55.26%),30 (0.26),8 (7-0-1 87.50%),4 (0.50)
13,"Wooden, Josh",26y 188d,94 (44-0-50 46.81%),17 (0.18),←,
Totals,Totals,24y 100d,1998 (1044-31-923 52.25%),1370 (0.69),,
C,"Worsfold, John",36y 238d,78 (44-2-32 57.69%),,←,
