Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Armfield, Dennis",2,3,12,14,,,,2.0,1.0,,,,,,,4.0,10.0,,,6.0,,,88.0
19,"Betts, Eddie",11,2,6,17,,1.0,,2.0,,3.0,1.0,3.0,,2.0,,11.0,6.0,,,,,3.0,79.0
18,"Bower, Paul",9,7,8,17,,,,1.0,3.0,1.0,,2.0,1.0,2.0,,3.0,16.0,,,7.0,,,97.0
44,"Carrazzo, Andrew",16,4,7,23,,,,4.0,2.0,6.0,2.0,3.0,2.0,1.0,,5.0,18.0,,,1.0,,,76.0
25,"Fevola, Brendan",18,11,2,20,4,6.0,,4.0,,1.0,1.0,2.0,5.0,,3.0,10.0,10.0,3.0,7.0,1.0,,1.0,100.0
4,"Gibbs, Bryce",11,6,21,32,,,,5.0,2.0,2.0,6.0,3.0,,2.0,,12.0,20.0,,,1.0,1.0,,89.0
10,"Hadley, Richard",8,4,5,13,,,,3.0,,2.0,1.0,2.0,,2.0,,3.0,10.0,1.0,,,,,62.0
22,"Hampson, Shaun",,3,7,7,,,11.0,5.0,,,1.0,2.0,1.0,2.0,,3.0,4.0,1.0,,1.0,,,60.0
33,"Houlihan, Ryan",15,7,10,25,1,,,2.0,4.0,2.0,1.0,7.0,3.0,3.0,,6.0,16.0,,,3.0,2.0,1.0,93.0
45,"Joseph, Aaron",3,1,9,12,1,,,5.0,,1.0,,,2.0,,,6.0,6.0,,,3.0,,,87.0
5,"Judd, Chris",17,3,10,27,,1.0,,1.0,2.0,6.0,3.0,1.0,2.0,,1.0,10.0,17.0,,,1.0,,1.0,85.0
8,"Kreuzer, Matthew",5,4,9,14,1,,17.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,11.0,,,6.0,,,62.0
3,"Murphy, Marc",14,5,10,24,2,,,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,7.0,18.0,,1.0,3.0,,1.0,84.0
17,"OhAilpin, Setanta",4,7,10,14,,,,2.0,,2.0,,1.0,,,,5.0,9.0,2.0,,3.0,,1.0,85.0
12,"Robinson, Mitch",6,3,6,12,,1.0,,1.0,,3.0,2.0,2.0,1.0,,,5.0,9.0,,,,,,73.0
2,"Russell, Jordan",9,3,9,18,,,,4.0,5.0,,,2.0,1.0,,,6.0,11.0,2.0,,9.0,,,82.0
29,"Scotland, Heath",16,8,8,24,1,,,2.0,1.0,4.0,3.0,1.0,1.0,,,6.0,17.0,,1.0,1.0,2.0,1.0,83.0
6,"Simpson, Kade",14,6,10,24,3,,,4.0,,6.0,,3.0,2.0,2.0,,7.0,18.0,1.0,1.0,3.0,4.0,1.0,80.0
24,"Stevens, Nick",16,6,6,22,1,,,2.0,5.0,3.0,5.0,3.0,1.0,,,5.0,15.0,,,,,1.0,86.0
32,"Thornton, Bret",17,8,13,30,,,,3.0,6.0,1.0,,3.0,1.0,2.0,,10.0,19.0,1.0,,8.0,1.0,,97.0
1,"Walker, Andrew",9,8,7,16,,,,,2.0,1.0,,1.0,,1.0,,3.0,13.0,,,1.0,,,73.0
34,"Wiggins, Simon",6,4,9,15,,,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,7.0,8.0,,,1.0,1.0,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,113,194,420,14,13.0,28.0,60.0,37.0,50.0,31.0,48.0,29.0,23.0,4.0,137.0,281.0,11.0,10.0,59.0,11.0,11.0,
Opposition,Opposition,178,89,180,358,8,14.0,24.0,41.0,33.0,46.0,19.0,50.0,23.0,29.0,2.0,118.0,240.0,12.0,12.0,56.0,15.0,7.0,
