Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",11,3,5,16,1.0,,,2.0,,,,,,,1.0,,,,,,,,
19,"Bain, David",11,3,4,15,,,,1.0,,,,,3.0,,,,,,,,,,
32,"Baldwin, Jason",9,4,4,13,1.0,,,1.0,,,,,1.0,,,,,,,,,,
5,"Barker, John",4,1,5,9,,,,1.0,,,,,3.0,,,,,,,,,,
34,"Boyd, Brad",10,4,9,19,2.0,1.0,,7.0,,,,,3.0,2.0,,,,,,,,,
18,"Dunstan, Michael",12,6,4,16,1.0,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
6,"Guard, Jeremy",7,2,3,10,,,,,,,,,1.0,1.0,,,,,,,,,
17,"Hawking, Simon",2,1,1,3,,,,1.0,,,,,,,,,,,,,,,
10,"Hogg, Jeff",8,4,1,9,5.0,2.0,,2.0,,,,,,,,,,,,,,,
2,"Johnson, Chris",7,3,2,9,,2.0,,,,,,,,2.0,,,,,,,,,
26,"Johnston, David",7,5,7,14,,,,2.0,,,,,2.0,1.0,,,,,,,,,
29,"Lyon, Ross",11,2,8,19,2.0,,,,,,,,,1.0,,,,,,,,,
30,"Manson, James",7,2,4,11,1.0,,10.0,,,,,,3.0,2.0,,,,,,,,,
11,"McGregor, Anthony",14,4,6,20,,,,4.0,,,,,2.0,2.0,2.0,,,,,,,,
7,"Molloy, Jarrod",10,3,9,19,2.0,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,
4,"Paxman, Stephen",8,5,5,13,1.0,2.0,4.0,3.0,,,,,2.0,2.0,3.0,,,,,,,,
1,"Roos, Paul",20,9,5,25,,,,1.0,,,,,2.0,2.0,,,,,,,,,
21,"Sporn, Kieran",13,4,7,20,,,,3.0,,,,,1.0,,,,,,,,,,
22,"Stretch, Steven",10,1,6,16,,1.0,,2.0,,,,,,1.0,,,,,,,,,
8,"Wynd, Jim",11,4,7,18,1.0,,,2.0,,,,,2.0,1.0,,,,,,,,,
16,"Zanotti, Mark",10,1,4,14,,,,3.0,,,,,1.0,1.0,,,,,,,,,
Totals,Totals,202,71,106,308,17.0,9.0,16.0,40.0,,,,,28.0,20.0,6.0,,,,,,,,
Opposition,Opposition,162,59,147,309,12.0,6.0,13.0,17.0,,,,,20.0,28.0,,,,,,,,,
