Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
3,"Adams, Taylor",31y 247d,227 (113-2-112 50.22%),86 (0.38),21 (14-0-7 66.67%),10 (0.48)
26,"Bice, Riley",24y 241d,10 (4-0-6 40.00%),1 (0.10),←,
22,"Blakey, Nick",25y 87d,139 (76-1-62 55.04%),45 (0.32),←,
16,"Campbell, Braeden",23y 110d,82 (48-1-33 59.15%),25 (0.30),←,
33,"Cleary, Caiden",20y 81d,13 (7-0-6 53.85%),3 (0.23),←,
13,"Florent, Oliver",26y 307d,179 (99-1-79 55.59%),50 (0.28),←,
4,"Grundy, Brodie",31y 40d,231 (122-2-107 53.25%),74 (0.32),37 (23-0-14 62.16%),4 (0.11)
29,"Hamling, Joel",32y 46d,100 (46-0-54 46.00%),3 (0.03),9 (4-0-5 44.44%),3 (0.33)
9,"Hayward, Will",26y 211d,174 (97-1-76 56.03%),215 (1.24),←,
5,"Heeney, Isaac",29y 20d,212 (132-1-79 62.50%),274 (1.29),←,
17,"Jordon, James",24y 156d,102 (71-1-30 70.10%),29 (0.28),37 (23-0-14 62.16%),12 (0.32)
19,"Ladhams, Peter",27y 131d,59 (36-0-23 61.02%),32 (0.54),27 (14-0-13 51.85%),11 (0.41)
44,"Lloyd, Jake",31y 247d,260 (158-1-101 60.96%),43 (0.17),←,
30,"McCartin, Tom",25y 146d,143 (81-0-62 56.64%),30 (0.21),←,
2,"McLean, Hayden",26y 125d,87 (49-1-37 56.90%),87 (1.00),←,
14,"Mills, Callum",28y 53d,163 (93-1-69 57.36%),29 (0.18),←,
24,"Rampe, Dane",34y 357d,262 (166-2-94 63.74%),9 (0.03),←,
34,"Roberts, Matt",21y 298d,41 (26-0-15 63.41%),4 (0.10),←,
8,"Rowbottom, James",24y 248d,128 (72-1-55 56.64%),38 (0.30),←,
12,"Sheldrick, Angus",21y 199d,17 (8-1-8 50.00%),7 (0.41),←,
1,"Warner, Chad",24y 6d,96 (58-0-38 60.42%),90 (0.94),←,
37,"Warner, Corey",21y 230d,20 (9-0-11 45.00%),9 (0.45),←,
15,"Wicks, Sam",25y 253d,76 (47-0-29 61.84%),44 (0.58),←,
Totals,Totals,26y 167d,2821 (1618-17-1186 57.36%),1227 (0.43),,
C,"Cox, Dean",43y 297d,11 (4-0-7 36.36%),,←,
