Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 154d,33 (12-1-20 37.88%),18 (0.55),←,
35,"Baxter, Darren",25y 68d,79 (35-2-42 45.57%),8 (0.10),←,
18,"Cameron, Leon",17y 266d,8 (5-0-3 62.50%),4 (0.50),←,
20,"Coleman, Glenn",29y 112d,132 (72-1-59 54.92%),76 (0.58),7 (4-0-3 57.14%),12 (1.71)
26,"Del-Re, Danny",22y 103d,2 (1-0-1 50.00%),1 (0.50),←,
12,"Eppelstun, Greg",23y 191d,68 (33-1-34 49.26%),1 (0.01),←,
32,"Foster, Peter",29y 358d,115 (61-2-52 53.91%),50 (0.43),108 (58-2-48 54.63%),48 (0.44)
29,"Grant, Chris",17y 164d,9 (5-0-4 55.56%),30 (3.33),←,
30,"Harrington, Tim",26y 249d,43 (15-1-27 36.05%),2 (0.05),15 (6-0-9 40.00%),
7,"Hawkins, Doug",30y 21d,231 (91-3-137 40.04%),107 (0.46),←,
21,"Kolyniuk, Steven",19y 325d,19 (9-1-9 50.00%),16 (0.84),←,
39,"Liberatore, Tony",24y 104d,27 (16-0-11 59.26%),16 (0.59),←,
11,"McGuinness, Tony",26y 20d,96 (43-2-51 45.83%),93 (0.97),←,
40,"Moloney, Troy",24y 8d,30 (14-1-15 48.33%),4 (0.13),←,
14,"Reynolds, Keenan",21y 139d,8 (5-0-3 62.50%),,←,
33,"Royal, Brian",28y 165d,146 (76-2-68 52.74%),186 (1.27),←,
13,"Svilar, Michael",20y 260d,7 (4-0-3 57.14%),,←,
16,"Wallace, Terry",31y 164d,237 (140-2-95 59.49%),118 (0.50),52 (22-1-29 43.27%),15 (0.29)
6,"Wigney, Stuart",21y 37d,31 (13-1-17 43.55%),10 (0.32),←,
15,"Wynd, Scott",20y 121d,28 (11-0-17 39.29%),6 (0.21),←,
Totals,Totals,24y 24d,1349 (661-20-668 49.00%),746 (0.55),,
C,"Wheeler, Terry",35y 74d,9 (5-0-4 55.56%),,←,
