Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Casboult, Levi",8,3,4,12,,2.0,9.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,,6.0,7.0,,1.0,2.0,,,86.0
9,"Cripps, Patrick",8,3,16,24,,,,3.0,,2.0,10.0,6.0,1.0,1.0,,15.0,11.0,,,3.0,,,88.0
35,"Curnow, Ed",9,,9,18,,,,8.0,1.0,1.0,4.0,1.0,2.0,,,9.0,8.0,,,1.0,,2.0,82.0
47,"Deluca, Josh",4,,7,11,,,,3.0,,2.0,2.0,1.0,,,,8.0,3.0,,,2.0,,,78.0
25,"Fisher, Zac",5,,6,11,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,4.0,8.0,,,1.0,,1.0,75.0
40,"Gibbons, Michael",12,4,3,15,3,1.0,,,,3.0,3.0,4.0,1.0,2.0,,8.0,7.0,1.0,1.0,1.0,,,79.0
45,"Goddard, Hugh",7,3,2,9,,,,,,,,1.0,,,,2.0,7.0,,,3.0,,,80.0
7,"Kennedy, Matthew",2,1,5,7,,1.0,,1.0,,,1.0,1.0,,1.0,,3.0,5.0,,,,,1.0,73.0
16,"Lang, Darcy",3,2,2,5,1,,,3.0,,,1.0,2.0,,,,3.0,2.0,,1.0,3.0,,,74.0
10,"McKay, Harry",14,11,4,18,1,2.0,,,,3.0,1.0,1.0,2.0,,,8.0,10.0,2.0,1.0,1.0,,,91.0
3,"Murphy, Marc",14,8,11,25,1,,,4.0,2.0,8.0,5.0,4.0,2.0,1.0,,8.0,18.0,,,,,1.0,84.0
24,"Newman, Nic",17,11,7,24,4,,,3.0,6.0,2.0,,1.0,1.0,,,6.0,18.0,,1.0,3.0,2.0,,78.0
4,"OBrien, Lochie",14,6,4,18,,,,1.0,2.0,5.0,1.0,2.0,,,,2.0,16.0,1.0,,,,1.0,74.0
5,"Petrevski-Seton, Sam",16,5,6,22,,,,4.0,3.0,1.0,1.0,3.0,1.0,1.0,,8.0,12.0,1.0,,3.0,,,85.0
34,"Phillips, Andrew",7,2,4,11,,1.0,30.0,1.0,,3.0,3.0,3.0,3.0,2.0,,9.0,2.0,2.0,,5.0,,,74.0
20,"Plowman, Lachie",8,4,2,10,,,,2.0,2.0,2.0,,,1.0,,,3.0,5.0,,,12.0,,,95.0
19,"Schumacher, Angus",10,4,3,13,,,,,3.0,1.0,,2.0,1.0,2.0,,2.0,12.0,,,1.0,,,79.0
43,"Setterfield, Will",13,5,6,19,,,,1.0,2.0,2.0,3.0,2.0,1.0,,,5.0,14.0,,,1.0,,,79.0
1,"Silvagni, Jack",11,5,7,18,,,,3.0,,6.0,1.0,7.0,1.0,1.0,,8.0,11.0,1.0,,1.0,,2.0,81.0
6,"Simpson, Kade",20,8,5,25,,,,2.0,7.0,,,6.0,1.0,3.0,,5.0,16.0,,,,4.0,,88.0
18,"Walsh, Sam",13,7,18,31,1,,,,2.0,3.0,4.0,2.0,1.0,,2.0,10.0,21.0,,,2.0,,,81.0
23,"Weitering, Jacob",11,9,4,15,,,,2.0,3.0,1.0,,,,,,4.0,10.0,2.0,,5.0,,,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,101,135,361,11,9.0,39.0,43.0,35.0,48.0,44.0,55.0,21.0,17.0,2.0,136.0,223.0,10.0,5.0,50.0,6.0,8.0,
Opposition,Opposition,231,111,130,361,15,9.0,31.0,42.0,37.0,50.0,32.0,47.0,17.0,21.0,4.0,119.0,239.0,18.0,14.0,42.0,13.0,10.0,
