Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
14,"Birchall, Grant",28y 73d,219 (148-1-70 67.81%),31 (0.14),←,
22,"Breust, Luke",25y 151d,119 (95-0-24 79.83%),229 (1.92),←,
9,"Burgoyne, Shaun",33y 172d,298 (205-1-92 68.96%),245 (0.82),141 (108-1-32 76.95%),74 (0.52)
18,"Ceglar, Jonathon",25y 56d,33 (26-0-7 78.79%),16 (0.48),←,
8,"Duryea, Taylor",24y 352d,66 (52-0-14 78.79%),12 (0.18),←,
12,"Frawley, James",27y 203d,160 (49-1-110 30.94%),24 (0.15),21 (15-0-6 71.43%),6 (0.29)
6,"Gibson, Josh",32y 28d,193 (125-2-66 65.28%),3 (0.02),128 (96-1-31 75.39%),1 (0.01)
19,"Gunston, Jack",24y 177d,106 (77-0-29 72.64%),226 (2.13),92 (72-0-20 78.26%),206 (2.24)
4,"Hartung, Billy",21y 77d,30 (22-0-8 73.33%),15 (0.50),←,
29,"Langford, Will",23y 282d,36 (26-0-10 72.22%),15 (0.42),←,
3,"Lewis, Jordan",29y 352d,243 (154-1-88 63.58%),134 (0.55),←,
17,"Dewar, Angus",23y 181d,22 (20-0-2 90.91%),1 (0.05),←,
7,"McEvoy, Ben",26y 274d,126 (75-2-49 60.32%),48 (0.38),35 (24-0-11 68.57%),21 (0.60)
5,"Mitchell, Sam",33y 181d,288 (176-1-111 61.28%),67 (0.23),←,
13,"ORourke, Jonathan",21y 355d,14 (4-0-10 28.57%),2 (0.14),5 (3-0-2 60.00%),2 (0.40)
28,"Puopolo, Paul",28y 130d,114 (90-0-24 78.95%),101 (0.89),←,
33,"Rioli, Cyril",26y 271d,160 (111-1-48 69.69%),228 (1.42),←,
25,"Schoenmakers, Ryan",25y 154d,98 (63-0-35 64.29%),29 (0.30),←,
26,"Shiels, Liam",24y 347d,125 (94-0-31 75.20%),43 (0.34),←,
21,"Sicily, James",21y 95d,6 (4-0-2 66.67%),11 (1.83),←,
16,"Smith, Isaac",27y 102d,114 (91-0-23 79.82%),102 (0.89),←,
24,"Stratton, Ben",27y 40d,120 (86-1-33 72.08%),1 (0.01),←,
Totals,Totals,26y 184d,2690 (1793-11-886 66.65%),1583 (0.59),,
C,"Clarkson, Alastair",47y 349d,262 (165-1-96 63.17%),,←,
