North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",22y 19d,13 (7-1-5 57.69%),9 (0.69),←,
4,"Anthony, Liam",22y 228d,15 (5-1-9 36.67%),4 (0.27),←,
28,"Bastinac, Ryan",18y 307d,5 (2-0-3 40.00%),,←,
10,"Cunnington, Ben",18y 299d,1 (1-0-0 100.00%),,←,
27,"Edwards, Aaron",26y 54d,43 (24-1-18 56.98%),52 (1.21),39 (20-1-18 52.56%),50 (1.28)
11,"Firrito, Michael",26y 149d,132 (64-2-66 49.24%),23 (0.17),←,
22,"Goldstein, Todd",21y 298d,21 (10-1-10 50.00%),11 (0.52),←,
24,"Greenwood, Levi",21y 65d,12 (4-1-7 37.50%),1 (0.08),←,
17,"Grima, Nathan",24y 263d,17 (6-1-10 38.24%),,←,
31,"Hale, David",25y 338d,122 (52-2-68 43.44%),114 (0.93),←,
6,"Hansen, Lachlan",21y 251d,34 (15-1-18 45.59%),13 (0.38),←,
29,"Harvey, Brent",31y 346d,284 (154-3-127 54.75%),324 (1.14),←,
1,"McIntosh, Hamish",25y 233d,84 (34-2-48 41.67%),40 (0.48),←,
42,"McMahon, Scott",23y 327d,55 (27-1-27 50.00%),24 (0.44),←,
3,"Rawlings, Brady",28y 319d,206 (102-2-102 50.00%),60 (0.29),←,
9,"Swallow, Andrew",22y 327d,67 (28-1-38 42.54%),30 (0.45),←,
12,"Thomas, Lindsay",22y 56d,59 (26-2-31 45.76%),69 (1.17),←,
16,"Thompson, Scott",23y 351d,33 (9-2-22 30.30%),,←,
14,"Urquhart, Gavin",21y 342d,37 (13-0-24 35.14%),1 (0.03),←,
5,"Warren, Ben",21y 73d,14 (5-0-9 35.71%),16 (1.14),←,
8,"Wells, Daniel",25y 81d,135 (67-2-66 50.37%),76 (0.56),←,
7,"Ziebell, Jack",19y 56d,15 (6-0-9 40.00%),3 (0.20),←,
Totals,Totals,23y 184d,1404 (661-26-717 47.08%),870 (0.62),,
C,"Scott, Brad",33y 357d,5 (2-0-3 40.00%),,←,
