Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",6,4,10,16,1,,,2.0,,3.0,2.0,2.0,,1.0,,4.0,11.0,,,3.0,1.0,2.0,71.0
20,"Brogan, Dean",1,3,9,10,,,13.0,1.0,,,2.0,2.0,,2.0,,6.0,4.0,2.0,,2.0,,,54.0
7,"Burgoyne, Peter",26,3,8,34,,,,1.0,11.0,3.0,,1.0,,,,8.0,25.0,,,1.0,11.0,1.0,94.0
8,"Burgoyne, Shaun",14,2,5,19,4,2.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,,6.0,12.0,,1.0,,3.0,,81.0
27,"Carlile, Alipate",1,3,9,10,,,,1.0,2.0,,,1.0,,1.0,,4.0,6.0,,,7.0,,,94.0
25,"Cassisi, Domenic",8,3,12,20,,,,2.0,1.0,4.0,4.0,3.0,2.0,1.0,,10.0,11.0,,,3.0,,3.0,79.0
30,"Chaplin, Troy",4,2,6,10,,,,2.0,4.0,,,1.0,1.0,1.0,,5.0,5.0,,,9.0,,,87.0
35,"Cornes, Chad",24,8,9,33,1,1.0,1.0,1.0,3.0,11.0,4.0,5.0,3.0,3.0,2.0,12.0,21.0,2.0,1.0,2.0,2.0,1.0,91.0
18,"Cornes, Kane",15,10,21,36,1,,,5.0,2.0,8.0,,2.0,1.0,,3.0,4.0,34.0,1.0,1.0,3.0,3.0,1.0,85.0
33,"Ebert, Brett",15,8,1,16,6,1.0,,2.0,2.0,2.0,,3.0,2.0,,1.0,8.0,6.0,3.0,5.0,1.0,,1.0,82.0
17,"Gray, Robbie",2,2,3,5,,,,2.0,,,1.0,,,,,2.0,3.0,,1.0,3.0,,1.0,75.0
5,"Lade, Brendon",6,5,4,10,,,22.0,1.0,,1.0,2.0,3.0,,2.0,,2.0,7.0,,,,,,69.0
12,"Lonie, Nathan",10,3,4,14,1,,,,1.0,3.0,,,,,,,14.0,,,3.0,1.0,,73.0
4,"Motlop, Daniel",10,4,,10,5,1.0,,3.0,,1.0,,8.0,3.0,4.0,,6.0,3.0,1.0,2.0,2.0,,,84.0
16,"Pearce, Danyle",12,7,9,21,1,,,3.0,,5.0,1.0,4.0,1.0,,,6.0,16.0,1.0,1.0,1.0,5.0,1.0,84.0
36,"Pettigrew, Michael",6,2,6,12,,,,3.0,3.0,1.0,1.0,2.0,,,,4.0,7.0,,,3.0,7.0,1.0,88.0
15,"Rodan, David",8,1,9,17,1,1.0,,5.0,,4.0,5.0,,4.0,,,13.0,5.0,,,1.0,,2.0,76.0
9,"Surjan, Jacob",11,6,13,24,,,,,3.0,3.0,,1.0,1.0,,,7.0,17.0,,,4.0,4.0,,90.0
28,"Thurstans, Toby",7,4,10,17,,,,2.0,2.0,2.0,,1.0,,,,5.0,12.0,1.0,,6.0,1.0,1.0,93.0
1,"Tredrea, Warren",14,11,3,17,3,1.0,,4.0,,5.0,,,,,,6.0,11.0,2.0,2.0,1.0,,,91.0
39,"Westhoff, Justin",5,4,2,7,,,,4.0,,2.0,,2.0,1.0,1.0,,3.0,4.0,,1.0,5.0,,1.0,86.0
21,"Wilson, Michael",7,5,8,15,,,,2.0,1.0,2.0,2.0,3.0,1.0,,,5.0,9.0,,,1.0,,1.0,71.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,100,161,373,24,11.0,37.0,49.0,36.0,63.0,28.0,47.0,21.0,18.0,6.0,126.0,243.0,13.0,15.0,61.0,38.0,17.0,
Opposition,Opposition,189,96,183,372,15,10.0,19.0,35.0,36.0,56.0,32.0,47.0,18.0,21.0,,119.0,257.0,8.0,13.0,44.0,23.0,8.0,
