Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
44,"Bandy, Daniel",24y 241d,85 (32-0-53 37.65%),66 (0.78),←,
7,"Black, Heath",21y 49d,46 (15-0-31 32.61%),27 (0.59),←,
40,"Bootsma, Brad",27y 199d,10 (4-0-6 40.00%),2 (0.20),←,
30,"Brown, Leigh",18y 144d,19 (7-0-12 36.84%),1 (0.05),←,
10,"Cook, Troy",23y 339d,62 (31-0-31 50.00%),20 (0.32),19 (7-0-12 36.84%),9 (0.47)
18,"Fewster, Brendon",26y 194d,50 (23-0-27 46.00%),37 (0.74),17 (7-0-10 41.18%),10 (0.59)
2,"Fletcher, Adrian",30y 280d,207 (88-2-117 43.00%),93 (0.45),55 (17-0-38 30.91%),20 (0.36)
46,"Grover, Antoni",20y 127d,9 (2-0-7 22.22%),,←,
3,"Harding, Greg",23y 303d,69 (26-0-43 37.68%),3 (0.04),←,
4,"Hasleby, Paul",19y 34d,19 (7-0-12 36.84%),14 (0.74),←,
17,"Holland, Brodie",20y 195d,36 (8-0-28 22.22%),37 (1.03),←,
5,"Jones, Anthony",25y 210d,56 (21-0-35 37.50%),3 (0.05),←,
11,"Kickett, Dale",32y 73d,160 (64-0-96 40.00%),59 (0.37),114 (41-0-73 35.96%),19 (0.17)
28,"Koops, Steven",21y 358d,32 (11-0-21 34.38%),28 (0.88),←,
8,"McManus, Shaun",24y 158d,76 (25-0-51 32.89%),43 (0.57),←,
16,"Michael, Clem",24y,40 (15-0-25 37.50%),11 (0.28),←,
6,"Modra, Tony",31y 137d,152 (65-1-86 43.09%),560 (3.68),34 (10-0-24 29.41%),120 (3.53)
25,"Norrish, Jason",28y 172d,113 (43-0-70 38.05%),20 (0.18),93 (31-0-62 33.33%),18 (0.19)
29,"Pavlich, Matthew",18y 198d,15 (5-0-10 33.33%),12 (0.80),←,
15,"Sinclair, Jess",21y 325d,48 (12-0-36 25.00%),26 (0.54),←,
19,"Walker, James",21y 183d,32 (9-0-23 28.13%),2 (0.06),←,
26,"Waterhouse, Clive",26y 23d,82 (28-0-54 34.15%),143 (1.74),←,
Totals,Totals,24y 80d,1418 (541-3-874 38.15%),1207 (0.85),,
C,"Drum, Damian",39y 354d,41 (12-0-29 29.27%),,←,
