Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Amon, Karl",20,9.0,10.0,30,,,,4.0,7.0,2.0,1.0,2.0,1.0,,,5,22.0,,,,2.0,,81.0
22 ↑,"Breust, Luke",4,3.0,1.0,5,1.0,,,1.0,,3.0,,,,,,2,3.0,,,1.0,,,40.0
18,"Chol, Mabior",7,2.0,,7,2.0,,1.0,2.0,,2.0,1.0,2.0,,,,1,3.0,,2.0,,,,86.0
16,"DAmbrosio, Massimo",12,5.0,10.0,22,2.0,,,,4.0,2.0,1.0,2.0,,1.0,,6,18.0,,1.0,,,1.0,76.0
12,"Day, Will",6,1.0,8.0,14,,,,2.0,,4.0,2.0,2.0,1.0,2.0,,3,11.0,,,2.0,,,79.0
35 ↓,"Dear, Calsher",1,,4.0,5,,,,1.0,,,,1.0,1.0,,,5,,,,,,,47.0
8,"Frost, Sam",6,2.0,5.0,11,,,,2.0,2.0,1.0,,1.0,1.0,,,7,4.0,1.0,,3.0,,,100.0
33,"Ginnivan, Jack",7,4.0,9.0,16,,2.0,,1.0,,2.0,,2.0,,1.0,,4,13.0,,1.0,1.0,,,75.0
19,"Gunston, Jack",5,3.0,,5,4.0,,,1.0,,,,1.0,,1.0,,1,4.0,,3.0,1.0,,,83.0
15,"Hardwick, Blake",14,8.0,5.0,19,,,,6.0,6.0,1.0,,1.0,2.0,,,10,8.0,2.0,,2.0,1.0,,98.0
4,"Impey, Jarman",8,2.0,9.0,17,,,,4.0,,1.0,1.0,1.0,,,,3,15.0,,,2.0,1.0,1.0,78.0
9,"Jiath, Changkuoth",4,1.0,6.0,10,,,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,4,5.0,,,,,,76.0
31,"Macdonald, Connor",8,6.0,6.0,14,1.0,,,,,1.0,,3.0,,,,2,12.0,,2.0,,,,82.0
17,"Meek, Lloyd",8,4.0,8.0,16,,3.0,42.0,4.0,,2.0,2.0,3.0,2.0,2.0,,7,8.0,,2.0,2.0,,1.0,88.0
13,"Moore, Dylan",11,3.0,8.0,19,1.0,2.0,,5.0,,2.0,2.0,3.0,2.0,,,6,13.0,,1.0,,,3.0,90.0
11,"Nash, Conor",6,,14.0,20,,,,3.0,2.0,2.0,3.0,2.0,,1.0,,8,12.0,,,2.0,,2.0,78.0
3,"Newcombe, Jai",13,3.0,17.0,30,,,,6.0,2.0,6.0,11.0,6.0,,1.0,,19,14.0,,,2.0,1.0,1.0,83.0
14,"Scrimshaw, Jack",11,6.0,8.0,19,,,,1.0,3.0,2.0,2.0,1.0,,,,3,11.0,,,2.0,2.0,,70.0
6,"Sicily, James",15,8.0,5.0,20,,,,,4.0,6.0,1.0,3.0,,1.0,,4,14.0,,,,1.0,1.0,97.0
25,"Ward, Josh",6,2.0,5.0,11,,,,1.0,,1.0,1.0,4.0,,1.0,,4,7.0,,,,,,66.0
34,"Watson, Nick",4,2.0,,4,,1.0,,5.0,,2.0,2.0,1.0,3.0,,,3,2.0,,,,,,80.0
23,"Weddle, Josh",7,3.0,7.0,14,1.0,1.0,3.0,,,4.0,1.0,3.0,2.0,,,6,8.0,2.0,,4.0,4.0,1.0,79.0
5,"Worpel, James",7,1.0,9.0,16,,1.0,,3.0,1.0,4.0,3.0,4.0,1.0,3.0,,8,8.0,,,,,,70.0
Totals,Totals,190,78.0,154.0,344,12.0,10.0,46.0,54.0,35.0,52.0,35.0,49.0,17.0,15.0,,121,215.0,5.0,12.0,24.0,12.0,11.0,
Opposition,Opposition,208,95.0,140.0,348,12.0,12.0,27.0,67.0,39.0,48.0,36.0,52.0,15.0,17.0,6.0,127,206.0,15.0,15.0,35.0,11.0,9.0,
