Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Ash, Lachie",15,3.0,8,23,,,,,3.0,2.0,,2.0,,1.0,,1,22,,,3.0,4.0,,80.0
14,"Bedford, Toby",5,1.0,10,15,,,,14.0,1.0,3.0,1.0,3.0,,3.0,,6,9,,,,2.0,,91.0
32,"Briggs, Kieren",7,2.0,7,14,,,25.0,3.0,,2.0,3.0,2.0,1.0,,,8,6,,,3.0,,2.0,74.0
44,"Buckley, Jack",15,7.0,8,23,,,,3.0,5.0,1.0,1.0,3.0,,,,10,10,,,4.0,2.0,,97.0
5,"Cadman, Aaron",2,1.0,4,6,1.0,,,2.0,,,,2.0,,,,3,4,1.0,,2.0,,2.0,63.0
17,"Callaghan, Finn",7,2.0,14,21,,,,4.0,3.0,3.0,3.0,4.0,1.0,2.0,,8,13,,,2.0,2.0,1.0,86.0
13 ↓,"Cumming, Isaac",4,3.0,2,6,,,,2.0,,2.0,1.0,1.0,,,,3,5,,,2.0,,,26.0
16,"Daniels, Brent",13,5.0,5,18,2.0,,,4.0,,6.0,3.0,1.0,1.0,,,5,12,,2.0,1.0,,,85.0
37,"Fonti, Joe",4,4.0,10,14,,,,2.0,2.0,1.0,,5.0,,2.0,,1,14,,,2.0,,,79.0
12,"Green, Tom",18,4.0,16,34,,,,7.0,4.0,4.0,5.0,8.0,,2.0,,10,23,,,2.0,,,83.0
4,"Greene, Toby",8,1.0,6,14,2.0,1.0,,3.0,,1.0,,7.0,,2.0,,5,9,,,,,1.0,88.0
27,"Himmelberg, Harry",15,3.0,5,20,,,,1.0,6.0,1.0,1.0,2.0,,1.0,,4,8,,,5.0,2.0,,86.0
23,"Hogan, Jesse",7,6.0,3,10,4.0,1.0,,3.0,,1.0,,1.0,2.0,1.0,1.0,6,6,2.0,6.0,6.0,,1.0,90.0
39,"Idun, Connor",9,7.0,18,27,,,,1.0,5.0,,1.0,1.0,,,,10,16,,,5.0,1.0,,100.0
2,"Jones, Darcy",7,,11,18,1.0,1.0,,3.0,,5.0,,3.0,,,,8,9,,,1.0,1.0,2.0,77.0
31,"McMullin, Toby",2,,5,7,1.0,,,1.0,,1.0,1.0,,,,,4,3,,,,,,78.0
33 ↑,"OHalloran, Xavier",9,5.0,5,14,,2.0,,1.0,2.0,5.0,,3.0,,1.0,,3,12,1.0,1.0,,,,52.0
20,"Peatling, James",8,5.0,10,18,,,,7.0,2.0,1.0,6.0,2.0,2.0,1.0,,7,13,,,1.0,1.0,,76.0
36,"Perryman, Harry",18,8.0,8,26,1.0,,,1.0,9.0,2.0,,1.0,,,,4,19,,1.0,,4.0,,75.0
26,"Riccardi, Jake",5,5.0,4,9,1.0,,7.0,,1.0,1.0,1.0,2.0,,1.0,,5,4,3.0,1.0,,,1.0,73.0
28,"Thomas, Harvey",5,3.0,6,11,1.0,,,2.0,,1.0,,2.0,1.0,,,5,7,,2.0,1.0,,1.0,79.0
8,"Ward, Callan",7,3.0,10,17,,,,4.0,1.0,1.0,1.0,2.0,2.0,1.0,,2,16,,,,,,80.0
6,"Whitfield, Lachie",21,10.0,19,40,,,,5.0,13.0,3.0,2.0,4.0,,2.0,3.0,9,24,,,1.0,1.0,,84.0
Totals,Totals,211,88.0,194,405,14.0,5.0,32.0,73.0,57.0,47.0,30.0,61.0,10.0,20.0,4.0,127,264,7.0,13.0,41.0,20.0,11.0,
Opposition,Opposition,182,70.0,163,345,6.0,14.0,40.0,52.0,33.0,66.0,43.0,61.0,20.0,10.0,2.0,131,214,9.0,14.0,57.0,3.0,3.0,
