Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
36,"Amartey, Joel",2.0,2.0,3.0,5.0,,,9.0,2.0,1.0,,,3.0,,2.0,,4.0,2.0,,,1.0,,,73.0
22,"Blakey, Nick",12.0,3.0,7.0,19.0,1.0,,,,4.0,2.0,,1.0,2.0,1.0,2.0,5.0,12.0,,,4.0,3.0,,80.0
16,"Campbell, Braeden",11.0,4.0,5.0,16.0,,,,3.0,2.0,1.0,2.0,2.0,2.0,1.0,,5.0,11.0,,,,,,82.0
7,"Cunningham, Harry",1.0,1.0,2.0,3.0,,,,4.0,1.0,,,,2.0,,,4.0,2.0,,,,,,81.0
13,"Florent, Oliver",24.0,6.0,9.0,33.0,1.0,,,2.0,6.0,8.0,,3.0,,,,8.0,20.0,,1.0,,,,90.0
42 ↑,"Fox, Robbie",3.0,2.0,13.0,16.0,,,,1.0,1.0,,,2.0,1.0,,,5.0,10.0,,,5.0,,,80.0
23,"Franklin, Lance",4.0,1.0,4.0,8.0,,1.0,,,,,,5.0,2.0,4.0,,3.0,6.0,,1.0,,,,92.0
21,"Gulden, Errol",13.0,4.0,7.0,20.0,,,,7.0,1.0,8.0,3.0,1.0,2.0,,,8.0,12.0,,,2.0,,2.0,88.0
9,"Hayward, Will",8.0,5.0,1.0,9.0,,2.0,,4.0,2.0,3.0,,1.0,,,,2.0,7.0,1.0,1.0,1.0,,,83.0
5,"Heeney, Isaac",10.0,7.0,5.0,15.0,1.0,2.0,,3.0,,1.0,2.0,3.0,1.0,,,8.0,7.0,2.0,2.0,1.0,,,86.0
19,"Ladhams, Peter",8.0,2.0,8.0,16.0,1.0,,25.0,2.0,1.0,5.0,7.0,4.0,5.0,2.0,,13.0,5.0,,,4.0,,,80.0
44,"Lloyd, Jake",18.0,9.0,6.0,24.0,,,,1.0,6.0,6.0,,,1.0,,,6.0,14.0,2.0,,3.0,,,86.0
39,"McCartin, Paddy",,,,,,,,1.0,,,,,,,,,,,,1.0,,,3.0
30 ↓,"McCartin, Tom",3.0,1.0,2.0,5.0,,,,,,,,2.0,,2.0,,,5.0,,,2.0,,,33.0
6,"McDonald, Logan",4.0,1.0,3.0,7.0,2.0,,,3.0,,1.0,,1.0,2.0,1.0,,4.0,2.0,1.0,1.0,3.0,,,80.0
27,"McInerney, Justin",7.0,4.0,7.0,14.0,,,,2.0,2.0,3.0,,1.0,,,,1.0,12.0,,,1.0,,,75.0
14,"Mills, Callum",12.0,4.0,9.0,21.0,,,,3.0,1.0,5.0,2.0,2.0,,1.0,,8.0,13.0,1.0,,1.0,,1.0,90.0
11,"Papley, Tom",11.0,3.0,3.0,14.0,1.0,3.0,,4.0,,4.0,1.0,6.0,3.0,2.0,,10.0,6.0,1.0,3.0,,,1.0,87.0
26,"Parker, Luke",11.0,6.0,11.0,22.0,,1.0,,4.0,,3.0,4.0,3.0,3.0,2.0,,10.0,11.0,1.0,,1.0,,2.0,87.0
24,"Rampe, Dane",11.0,3.0,8.0,19.0,,,,4.0,5.0,1.0,1.0,2.0,1.0,2.0,,6.0,10.0,,,11.0,,,96.0
8,"Rowbottom, James",8.0,1.0,4.0,12.0,,,,13.0,,4.0,2.0,2.0,4.0,2.0,,7.0,4.0,,,,,,82.0
3,"Stephens, Dylan",9.0,3.0,9.0,18.0,,,,,1.0,3.0,3.0,1.0,1.0,,,3.0,14.0,,,1.0,,,85.0
1,"Warner, Chad",16.0,1.0,14.0,30.0,2.0,1.0,,5.0,2.0,9.0,9.0,6.0,,1.0,3.0,19.0,11.0,,,1.0,4.0,,81.0
Totals,Totals,206.0,73.0,140.0,346.0,9.0,10.0,34.0,68.0,36.0,67.0,36.0,51.0,32.0,23.0,5.0,139.0,196.0,9.0,9.0,43.0,7.0,6.0,
Opposition,Opposition,197.0,66.0,139.0,336.0,9.0,12.0,27.0,63.0,55.0,45.0,41.0,67.0,23.0,32.0,1.0,149.0,184.0,14.0,9.0,46.0,10.0,5.0,
