Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 305d,40 (9-0-31 22.50%),18 (0.45),←,
22,"Bain, David",25y 86d,57 (13-0-44 22.81%),36 (0.63),←,
51,"Bell, Corey",18y 184d,7 (3-0-4 42.86%),2 (0.29),←,
8,"Cameron, David",27y 114d,53 (25-0-28 47.17%),92 (1.74),12 (3-0-9 25.00%),21 (1.75)
25,"Campbell, Matthew",27y 178d,56 (14-0-42 25.00%),19 (0.34),←,
1,"Champion, Richard",23y 104d,13 (2-0-11 15.38%),2 (0.15),←,
12,"Clarke, Troy",22y 49d,7 (1-0-6 14.29%),3 (0.43),←,
4,"Gastev, John",26y 350d,85 (31-0-54 36.47%),61 (0.72),55 (14-0-41 25.45%),30 (0.55)
5,"Hardie, Brad",28y 290d,145 (53-0-92 36.55%),216 (1.49),98 (25-0-73 25.51%),188 (1.92)
9,"Ishchenko, Alex",27y 98d,71 (26-0-45 36.62%),25 (0.35),41 (10-0-31 24.39%),15 (0.37)
17,"Leslie, Martin",28y 252d,48 (12-0-36 25.00%),4 (0.08),←,
50,"Luhrs, Simon",21y 39d,1 (0-0-1 0.00%),,←,
19,"McLean, Michael",26y 146d,112 (50-2-60 45.54%),29 (0.26),17 (3-0-14 17.65%),6 (0.35)
24,"Merrett, Roger",31y 99d,222 (116-2-104 52.70%),246 (1.11),73 (19-0-54 26.03%),98 (1.34)
26,"Noonan, Danny",22y 240d,12 (2-0-10 16.67%),4 (0.33),←,
28,"OBrien, Cameron",24y 302d,44 (14-0-30 31.82%),65 (1.48),43 (14-0-29 32.56%),65 (1.51)
11,"Phillips, Brenton",28y 264d,71 (26-0-45 36.62%),33 (0.46),61 (20-0-41 32.79%),30 (0.49)
30,"Ryan, Matthew",24y 55d,68 (24-1-43 36.03%),59 (0.87),13 (3-0-10 23.08%),7 (0.54)
23,"Schache, Laurence",23y 283d,12 (3-0-9 25.00%),33 (2.75),←,
20,"Sim, Lachlan",21y 245d,19 (6-0-13 31.58%),5 (0.26),←,
Totals,Totals,25y 2d,1143 (430-5-708 37.62%),952 (0.83),,
C,"Walls, Robert",41y 6d,216 (118-1-97 54.86%),,17 (3-0-14 17.65%),
