Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bain, David",10,1,4,14,,,,1.0,,,,,1.0,,,,,,,,,,
23,"Caton, Kevin",5,1,1,6,,1.0,,2.0,,,,,,1.0,,,,,,,,,
26,"Eade, Rodney",18,5,1,19,,,,2.0,,,,,1.0,3.0,,,,,,,,,
19,"Edwards, Bradley",6,2,,6,,,,3.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",7,,,7,,,,2.0,,,,,,2.0,,,,,,,,,
38,"Gibson, Michael",11,5,6,17,,,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Hardie, Brad",10,3,2,12,2,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
47,"Harris, Bernie",15,2,5,20,,1.0,,3.0,,,,,3.0,,,,,,,,,,
9,"Ishchenko, Alex",11,7,3,14,,,22.0,,,,,,3.0,,,,,,,,,,
35,"Keane, Gavin",15,3,2,17,,,,1.0,,,,,1.0,4.0,,,,,,,,,
17,"Leslie, Martin",12,4,4,16,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
7,"McIvor, Scott",18,6,3,21,1,,,2.0,,,,,3.0,3.0,,,,,,,,,
1,"Mickan, Mark",1,,2,3,,,6.0,,,,,,1.0,,,,,,,,,,
31,"OKeeffe, David",10,5,5,15,,,,,,,,,,,,,,,,,,,
8,"Richardson, Michael",15,7,4,19,,1.0,,3.0,,,,,,1.0,,,,,,,,,
27,"Roberts, Mark",5,4,3,8,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,
20,"Sim, Lachlan",3,,4,7,,,,2.0,,,,,,,,,,,,,,,
29,"Taylor, Andrew",6,4,6,12,1,,,8.0,,,,,3.0,1.0,,,,,,,,,
2,"Williams, Mark",15,4,2,17,,1.0,,6.0,,,,,,3.0,,,,,,,,,
21,"Zanotti, Mark",10,5,2,12,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,68,59,262,5,8.0,29.0,41.0,,,,,20.0,26.0,,,,,,,,,
Opposition,Opposition,244,81,128,372,18,12.0,18.0,25.0,,,,,26.0,20.0,6.0,,,,,,,,
