Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
31,"Bannister, Jordan",21y 281d,28 (13-1-14 48.21%),3 (0.11),14 (5-0-9 35.71%),3 (0.21)
40,"Bentick, Adam",19y 55d,2 (1-0-1 50.00%),,←,
16,"Camporeale, Scott",28y 362d,209 (109-0-100 52.15%),189 (0.90),←,
9,"Clarke, David",24y 84d,99 (41-1-57 41.92%),50 (0.51),10 (3-0-7 30.00%),2 (0.20)
26,"De Luca, Adrian",22y 84d,19 (8-0-11 42.11%),8 (0.42),←,
25,"Fevola, Brendan",23y 200d,80 (34-0-46 42.50%),187 (2.34),←,
11,"French, Barnaby",28y 256d,95 (43-1-51 45.79%),27 (0.28),33 (9-0-24 27.27%),7 (0.21)
2,"Harford, Daniel",27y 141d,159 (77-1-81 48.74%),68 (0.43),6 (3-0-3 50.00%),1 (0.17)
33,"Houlihan, Ryan",22y 199d,95 (37-0-58 38.95%),74 (0.78),←,
10,"Johnson, Brett",22y 284d,57 (29-0-28 50.88%),13 (0.23),19 (8-0-11 42.11%),3 (0.16)
43,"Koutoufides, Anthony",31y 202d,224 (125-1-98 56.03%),190 (0.85),←,
12,"Lappin, Matthew",28y 172d,189 (86-1-102 45.77%),195 (1.03),134 (58-0-76 43.28%),169 (1.26)
4,"Livingston, Luke",21y 277d,29 (5-0-24 17.24%),2 (0.07),←,
20,"McGrath, Cory",25y 185d,37 (23-0-14 62.16%),16 (0.43),9 (5-0-4 55.56%),2 (0.22)
3,"Morrell, Digby",24y 302d,58 (28-1-29 49.14%),51 (0.88),18 (8-0-10 44.44%),4 (0.22)
29,"Scotland, Heath",24y 17d,72 (31-0-41 43.06%),22 (0.31),19 (8-0-11 42.11%),10 (0.53)
24,"Stevens, Nick",24y 217d,144 (81-2-61 56.94%),85 (0.59),17 (7-0-10 41.18%),7 (0.41)
15,"Teague, David",23y 94d,52 (26-0-26 50.00%),5 (0.10),19 (8-0-11 42.11%),1 (0.05)
32,"Thornton, Bret",20y 266d,50 (14-0-36 28.00%),1 (0.02),←,
30,"Waite, Jarrad",21y 185d,26 (6-0-20 23.08%),15 (0.58),←,
1,"Walker, Andrew",18y 81d,13 (5-0-8 38.46%),2 (0.15),←,
8,"Whitnall, Lance",24y 350d,154 (76-0-78 49.35%),287 (1.86),←,
Totals,Totals,24y 46d,1891 (898-9-984 47.49%),1490 (0.79),,
C,"Pagan, Denis",56y 318d,281 (162-0-119 57.65%),,41 (12-0-29 29.27%),
