Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
3,"AhMat, Matthew",17y 304d,5 (0-0-5 0.00%),1 (0.20),←,
10,"Ashcroft, Marcus",20y 214d,50 (10-1-39 21.00%),25 (0.50),←,
22,"Bain, David",25y 360d,64 (14-1-49 22.66%),38 (0.59),←,
25,"Campbell, Matthew",28y 87d,66 (15-1-50 23.48%),21 (0.32),←,
1,"Champion, Richard",24y 12d,23 (3-1-19 15.22%),8 (0.35),←,
4,"Gastev, John",27y 259d,95 (32-1-62 34.21%),63 (0.66),65 (15-1-49 23.85%),32 (0.49)
34,"Green, Ashley",19y 20d,3 (1-1-1 50.00%),,←,
32,"Hart, Shaun",20y 345d,21 (5-1-15 26.19%),4 (0.19),←,
11,"Hutton, John",25y 336d,5 (1-1-3 30.00%),10 (2.00),←,
41,"Kennedy, Matthew",22y 82d,21 (3-0-18 14.29%),1 (0.05),←,
17,"Leslie, Martin",29y 161d,56 (12-1-43 22.32%),4 (0.07),←,
40,"McLuckie, Steven",19y 74d,4 (1-1-2 37.50%),6 (1.50),←,
24,"Merrett, Roger",32y 7d,232 (117-3-112 51.08%),256 (1.10),83 (20-1-62 24.70%),108 (1.30)
26,"Noonan, Danny",23y 149d,22 (3-1-18 15.91%),10 (0.45),←,
44,"Palfreyman, Nigel",18y 207d,5 (1-1-3 30.00%),2 (0.40),←,
6,"Retzlaff, Brendon",23y 4d,3 (1-1-1 50.00%),,←,
29,"Wearne, David",21y 352d,18 (2-1-15 13.89%),2 (0.11),←,
33,"White, Darryl",18y 319d,5 (1-1-3 30.00%),2 (0.40),←,
28,"Windsor, Ray",19y 259d,11 (2-1-8 22.73%),7 (0.64),←,
18,"Worsfold, Peter",21y 290d,13 (1-1-11 11.54%),15 (1.15),←,
Totals,Totals,23y 9d,722 (225-20-477 31.16%),475 (0.66),,
C,"Walls, Robert",41y 280d,226 (119-2-105 53.10%),,27 (4-1-22 16.67%),
