Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Breman, Todd",9,3,2,11,1,,,,,,,,1.0,2.0,,,,,,,,,
9,"Campbell, Wayne",22,7,8,30,,,,3.0,,,,,,4.0,,,,,,,,,
54,"Dennis, Simon",10,4,6,16,,,,3.0,,,,,1.0,4.0,,,,,,,,,
23,"Eishold, Simon",1,,1,2,,,,,,,,,,1.0,,,,,,,,,
37,"Esler, Ty",8,3,6,14,,,9.0,2.0,,,,,2.0,4.0,,,,,,,,,
42,"Fox, Brad",8,,5,13,,,,1.0,,,,,3.0,1.0,,,,,,,,,
30,"Free, Tony",10,1,6,16,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
25,"Gale, Brendon",7,7,8,15,3,1.0,,,,,,,1.0,2.0,,,,,,,,,
11,"Hernaman, Wayne",7,1,5,12,,,,,,,,,1.0,,,,,,,,,,
34,"Hogg, Jeff",13,4,2,15,1,,,1.0,,,,,2.0,1.0,,,,,,,,,
31,"Howat, John",1,,1,2,,,,,,,,,,,,,,,,,,,
33,"Knights, Matthew",12,3,12,24,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,
4,"Lambert, Craig",12,1,9,21,,1.0,,1.0,,,,,4.0,,,,,,,,,,
5,"Lennon, Bruce",10,4,15,25,,,,1.0,,,,,1.0,2.0,,,,,,,,,
43,"Livingstone, Tim",19,5,1,20,,,,4.0,,,,,4.0,2.0,,,,,,,,,
6,"Naish, Chris",16,1,8,24,3,1.0,,2.0,,,,,2.0,,,,,,,,,,
12,"Richardson, Matthew",14,10,1,15,3,3.0,,,,,,,1.0,2.0,,,,,,,,,
46,"Thiessen, James",9,2,5,14,,,,,,,,,1.0,,,,,,,,,,
41,"Turner, Scott",11,1,3,14,1,1.0,1.0,,,,,,2.0,5.0,,,,,,,,,
20,"Young, Barry",14,3,10,24,,,,2.0,,,,,1.0,4.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,60,114,327,12,11.0,10.0,23.0,,,,,31.0,36.0,1.0,,,,,,,,
Opposition,Opposition,190,58,110,300,16,10.0,16.0,27.0,,,,,36.0,31.0,5.0,,,,,,,,
