Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
44,"Bandy, Daniel",24y 261d,88 (33-0-55 37.50%),69 (0.78),←,
40,"Bootsma, Brad",27y 219d,13 (5-0-8 38.46%),4 (0.31),←,
30,"Brown, Leigh",18y 164d,21 (8-0-13 38.10%),2 (0.10),←,
31,"Clement, James",23y 336d,84 (26-0-58 30.95%),38 (0.45),←,
10,"Cook, Troy",23y 359d,65 (32-0-33 49.23%),22 (0.34),22 (8-0-14 36.36%),11 (0.50)
38,"Cunningham, Ben",18y 257d,1 (0-0-1 0.00%),,←,
18,"Fewster, Brendon",26y 214d,53 (24-0-29 45.28%),38 (0.72),20 (8-0-12 40.00%),11 (0.55)
2,"Fletcher, Adrian",30y 300d,210 (89-2-119 42.86%),94 (0.45),58 (18-0-40 31.03%),21 (0.36)
28,"Koops, Steven",22y 12d,35 (12-0-23 34.29%),30 (0.86),←,
8,"McManus, Shaun",24y 178d,79 (26-0-53 32.91%),43 (0.54),←,
16,"Michael, Clem",24y 20d,43 (16-0-27 37.21%),11 (0.26),←,
25,"Norrish, Jason",28y 192d,116 (44-0-72 37.93%),21 (0.18),96 (32-0-64 33.33%),19 (0.20)
23,"Parker, Shane",27y 169d,106 (37-0-69 34.91%),7 (0.07),←,
29,"Pavlich, Matthew",18y 218d,18 (6-0-12 33.33%),14 (0.78),←,
36,"Prescott, Ashley",27y 329d,120 (55-1-64 46.25%),19 (0.16),30 (8-0-22 26.67%),4 (0.13)
27,"Schell, Daniel",20y 198d,4 (1-0-3 25.00%),1 (0.25),←,
33,"Shipp, Andrew",21y 26d,23 (7-0-16 30.43%),15 (0.65),←,
15,"Sinclair, Jess",21y 345d,50 (13-0-37 26.00%),26 (0.52),←,
13,"Taylor, Garth",20y 26d,15 (3-0-12 20.00%),13 (0.87),←,
19,"Walker, James",21y 203d,35 (10-0-25 28.57%),2 (0.06),←,
26,"Waterhouse, Clive",26y 43d,85 (29-0-56 34.12%),154 (1.81),←,
24,"Wira, Brad",28y 142d,87 (36-1-50 41.95%),15 (0.17),26 (6-0-20 23.08%),11 (0.42)
Totals,Totals,23y 357d,1351 (512-4-835 37.90%),638 (0.47),,
C,"Drum, Damian",40y 8d,44 (13-0-31 29.55%),,←,
