Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Barnes, John",6,3,12,18,,,16.0,,2.0,1.0,8.0,1.0,1.0,,,,,,,,,,
9,"Bizzell, Clint",8,5,10,18,,,,,6.0,2.0,1.0,4.0,1.0,,,,,,,,,,
8,"Burns, Ronnie",4,3,8,12,2,,,,,2.0,3.0,,,,,,,,,,,,
2,"Colbert, Leigh",13,4,6,19,,,3.0,,5.0,2.0,5.0,2.0,1.0,2.0,,,,,,,,,
33,"Corrigan, Paul",8,2,6,14,1,,,,1.0,4.0,2.0,,1.0,1.0,,,,,,,,,
19,"Hall, Derek",6,4,3,9,3,,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,
22,"Hargreaves, Tim",10,4,11,21,,,,3.0,1.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,
32,"Hocking, Garry",10,3,10,20,2,,,3.0,,4.0,4.0,1.0,,,,,,,,,,,
13,"Kilpatrick, Glenn",17,5,15,32,,,,4.0,2.0,6.0,7.0,2.0,,,,,,,,,,,
29,"Lowther, Daniel",4,2,1,5,,,,,,1.0,,1.0,,,,,,,,,,,
21,"Mansfield, Michael",9,5,3,12,1,1.0,,2.0,4.0,,,4.0,2.0,,,,,,,,,,
17,"McGrath, Tim",13,6,4,17,,,1.0,2.0,7.0,1.0,,,3.0,1.0,1.0,,,,,,,,
31,"Mensch, David",12,3,10,22,,1.0,9.0,1.0,,5.0,11.0,5.0,1.0,4.0,,,,,,,,,
39,"Milburn, Darren",3,1,2,5,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
34,"Rahilly, James",7,2,7,14,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
15,"Riccardi, Peter",11,3,12,23,,1.0,,3.0,2.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,
11,"Roberts, Cameron",1,1,2,3,,,,,,,,,,,,,,,,,,,
27,"Sanderson, Brenton",9,2,3,12,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,
12,"Sholl, Brad",8,1,2,10,,,,,3.0,2.0,,2.0,,3.0,,,,,,,,,
37,"Simpson, Sean",3,,,3,,,,,1.0,1.0,1.0,,,,,,,,,,,,
4,"Snell, Jason",3,3,4,7,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,
14,"Spinks, Brett",6,1,1,7,,,,1.0,,,1.0,5.0,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,171,63,132,303,9,7.0,29.0,22.0,38.0,49.0,54.0,40.0,15.0,18.0,1.0,,,,,,,,
Opposition,Opposition,166,46,96,262,10,11.0,45.0,48.0,35.0,59.0,39.0,25.0,18.0,15.0,5.0,,,,,,,,
