Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aliir, Aliir",8,4,2,10,,,,,3.0,,,4.0,1.0,2.0,,4.0,7.0,,,6.0,,,100.0
14,"Bergman, Miles",10,5,4,14,,,,1.0,2.0,2.0,,3.0,1.0,,,3.0,11.0,,,5.0,,,77.0
10,"Boak, Travis",10,2,8,18,,,,3.0,1.0,1.0,3.0,1.0,,,,9.0,9.0,,,,,,76.0
3,"Burton, Ryan",20,4,2,22,,2.0,,3.0,7.0,5.0,,1.0,2.0,,,6.0,11.0,1.0,,5.0,,,77.0
9,"Butters, Zak",14,5,17,31,,1.0,,3.0,1.0,7.0,6.0,,1.0,,2.0,12.0,18.0,,,1.0,,,79.0
22,"Dixon, Charlie",7,2,5,12,2,,11.0,1.0,1.0,1.0,1.0,4.0,,1.0,,4.0,7.0,1.0,2.0,4.0,,,96.0
28,"Drew, Willem",8,3,8,16,,2.0,,16.0,1.0,1.0,4.0,1.0,2.0,,,11.0,5.0,,1.0,1.0,,1.0,88.0
7,"Duursma, Xavier",12,4,2,14,1,,,4.0,2.0,2.0,1.0,3.0,1.0,,,5.0,9.0,1.0,1.0,1.0,1.0,,75.0
31,"Evans, Francis",8,2,3,11,1,1.0,,1.0,,3.0,1.0,2.0,1.0,,,6.0,6.0,,1.0,2.0,,1.0,69.0
6,"Farrell, Kane",10,2,5,15,,,,2.0,3.0,1.0,,4.0,,2.0,,3.0,9.0,,,1.0,,,83.0
11,"Finlayson, Jeremy",13,3,2,15,1,2.0,2.0,5.0,1.0,5.0,3.0,1.0,,,,9.0,7.0,,1.0,5.0,,,93.0
18,"Horne-Francis, Jason",13,4,5,18,1,,,4.0,,2.0,6.0,3.0,2.0,1.0,,11.0,8.0,1.0,,3.0,1.0,,77.0
5,"Houston, Dan",15,5,10,25,,,,8.0,2.0,4.0,8.0,6.0,,2.0,,14.0,9.0,1.0,,3.0,,,85.0
34,"Jones, Lachie",8,3,2,10,,,,1.0,2.0,1.0,,2.0,,,,2.0,8.0,1.0,,8.0,,,79.0
29 ↓,"Lycett, Scott",1,,4,5,,,21.0,4.0,,1.0,2.0,5.0,1.0,4.0,,4.0,1.0,,,4.0,,,66.0
4,"Marshall, Todd",8,5,2,10,1,1.0,,2.0,,2.0,,2.0,,,,1.0,9.0,,3.0,1.0,,2.0,91.0
41,"McEntee, Jed",4,,2,6,,,,3.0,,2.0,,2.0,,,,5.0,1.0,,,1.0,,,71.0
12,"McKenzie, Trent",8,2,,8,,,,4.0,2.0,1.0,1.0,1.0,,,,3.0,4.0,1.0,,3.0,,,88.0
2,"Powell-Pepper, Sam",10,2,7,17,2,,,7.0,,4.0,2.0,4.0,,2.0,1.0,7.0,7.0,,,1.0,,,87.0
15,"Rioli, Willie",11,4,4,15,1,,,2.0,1.0,3.0,1.0,,1.0,,,7.0,7.0,1.0,1.0,1.0,,2.0,82.0
20,"Rozee, Connor",16,4,12,28,2,,,3.0,2.0,7.0,3.0,3.0,,,,7.0,20.0,1.0,,1.0,,,77.0
23 ↑,"Williams, Dylan",2,1,1,3,,,,,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,14.0
16,"Wines, Ollie",2,,11,13,,,,2.0,,1.0,3.0,2.0,,,,5.0,6.0,,,1.0,,1.0,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,66,118,336,12,11.0,34.0,79.0,31.0,57.0,46.0,55.0,13.0,14.0,3.0,140.0,180.0,9.0,10.0,58.0,2.0,7.0,
Opposition,Opposition,203,55,147,350,13,7.0,57.0,64.0,44.0,44.0,54.0,66.0,14.0,13.0,3.0,148.0,164.0,9.0,8.0,56.0,7.0,8.0,
