Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",25y 278d,68 (38-0-30 55.88%),100 (1.47),←,
21,"Barlow, Michael",25y 123d,50 (27-0-23 54.00%),29 (0.58),←,
26,"Bradley, Kepler",27y 158d,116 (43-1-72 37.50%),87 (0.75),67 (30-0-37 44.78%),73 (1.09)
15,"Crowley, Ryan",29y 46d,143 (72-0-71 50.35%),100 (0.70),←,
3,"Dawson, Zac",27y 57d,99 (59-3-37 61.11%),6 (0.06),22 (13-0-9 59.09%),2 (0.09)
9,"de Boer, Matt",23y 41d,80 (40-0-40 50.00%),31 (0.39),←,
41,"Duffield, Paul",28y 74d,115 (54-0-61 46.96%),24 (0.21),←,
7,"Fyfe, Nat",21y 214d,54 (30-0-24 55.56%),39 (0.72),←,
12,"Griffin, Jonathon",27y 96d,65 (34-0-31 52.31%),15 (0.23),24 (13-0-11 54.17%),8 (0.33)
32,"Hill, Stephen",22y 354d,93 (46-0-47 49.46%),54 (0.58),←,
37,"Johnson, Michael",28y 182d,153 (77-0-76 50.33%),54 (0.35),←,
23,"Mayne, Chris",24y 169d,85 (43-0-42 50.59%),108 (1.27),←,
16,"Mundy, David",27y 274d,168 (83-0-85 49.40%),65 (0.39),←,
13,"Mzungu, Tendai",27y 51d,42 (21-0-21 50.00%),25 (0.60),←,
27,"Neale, Lachie",19y 331d,12 (4-0-8 33.33%),5 (0.42),←,
46,"Pearce, Clancee",22y 179d,54 (25-0-29 46.30%),29 (0.54),←,
6,"Pearce, Danyle",27y 13d,158 (61-1-96 38.92%),78 (0.49),4 (2-0-2 50.00%),2 (0.50)
22,"Smith, Tanner",19y 43d,1 (0-0-1 0.00%),,←,
34,"Spurr, Lee",25y 267d,17 (12-0-5 70.59%),,←,
8,"Suban, Nick",22y 346d,66 (28-0-38 42.42%),21 (0.32),←,
33,"Sutcliffe, Cam",20y 332d,8 (6-0-2 75.00%),3 (0.38),←,
10,"Walters, Michael",22y 103d,25 (14-0-11 56.00%),45 (1.80),←,
Totals,Totals,24y 302d,1672 (817-5-850 48.86%),918 (0.55),,
C,"Lyon, Ross",46y 163d,149 (93-4-52 63.76%),,28 (17-0-11 60.71%),
