Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Barry, Leo",1,1,4,5,,,,,,1.0,,1.0,,1.0,,,,,,,,,
41,"Cook, Troy",10,3,12,22,,,1.0,3.0,,3.0,5.0,,1.0,,,,,,,,,,
8,"Cresswell, Daryn",20,5,10,30,3,1.0,1.0,,2.0,7.0,3.0,1.0,,,,,,,,,,,
28,"Crouch, Jared",4,,5,9,,,,3.0,2.0,1.0,3.0,,,,,,,,,,,,
6,"Dunkley, Andrew",8,11,7,15,,,4.0,,4.0,,1.0,,1.0,,1.0,,,,,,,,
10,"Filandia, Peter",6,3,4,10,,1.0,,,1.0,,,2.0,3.0,2.0,,,,,,,,,
16,"Green, Brent",3,2,4,7,2,,3.0,,,1.0,2.0,,,2.0,,,,,,,,,
14,"Kelly, Paul",19,3,6,25,1,3.0,1.0,2.0,1.0,6.0,6.0,,,,,,,,,,,,
3,"Lewis, Dale",6,3,6,12,1,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
4,"Lockett, Tony",5,4,2,7,2,2.0,,1.0,,,,,,,,,,,,,,,
34,"Luff, Troy",10,5,9,19,,,2.0,2.0,4.0,1.0,,,1.0,,,,,,,,,,
11,"Maxfield, Stuart",9,4,4,13,,2.0,,1.0,1.0,5.0,3.0,1.0,,,,,,,,,,,
23,"Nicks, Matthew",14,4,6,20,1,,,2.0,4.0,7.0,1.0,2.0,2.0,,,,,,,,,,
12,"OFarrell, Brett",11,8,5,16,,,10.0,,,5.0,3.0,2.0,,,,,,,,,,,
19,"OLoughlin, Michael",7,,8,15,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,
24,"Orchard, Mark",9,1,2,11,,1.0,,3.0,2.0,1.0,,,2.0,,,,,,,,,,
1,"Roos, Paul",1,,2,3,,,,,,,,,,,,,,,,,,,
22,"Saddington, Jason",4,2,11,15,,,,3.0,,3.0,1.0,,,,,,,,,,,,
2,"Schwass, Wayne",12,1,6,18,1,1.0,,,,3.0,4.0,,,,,,,,,,,,
7,"Seymour, Brad",2,1,5,7,,,,,1.0,,,,3.0,,,,,,,,,,
20,"Stevens, John",10,,10,20,1,,,,2.0,1.0,,,,2.0,,,,,,,,,
33,"Warfe, Rowan",9,5,3,12,,,,1.0,4.0,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,66,131,311,12,15.0,22.0,22.0,30.0,48.0,33.0,11.0,18.0,8.0,1.0,,,,,,,,
Opposition,Opposition,190,73,98,288,18,16.0,43.0,17.0,30.0,66.0,27.0,7.0,8.0,18.0,5.0,,,,,,,,
