Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",23,6,12,35,2,2.0,,4.0,,,,,3.0,2.0,,,,,,,,,
25,"Bews, Andrew",3,1,10,13,,,,1.0,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",11,4,4,15,,1.0,,2.0,,,,,1.0,,2.0,,,,,,,,
16,"Clarke, Matthew",6,4,5,11,,,12.0,1.0,,,,,1.0,2.0,3.0,,,,,,,,
12,"Clarke, Troy",11,1,3,14,2,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,
37,"Frigo, Rudi",7,6,4,11,,,,,,,,,,1.0,,,,,,,,,
4,"Gastev, John",12,5,13,25,,1.0,,3.0,,,,,,2.0,,,,,,,,,
14,"Hamilton, Shane",12,2,7,19,,,,,,,,,,,,,,,,,,,
41,"Kennedy, Matthew",20,9,8,28,,,2.0,1.0,,,,,,,,,,,,,,,
44,"Lappin, Nigel",10,9,7,17,1,,,2.0,,,,,,,,,,,,,,,
17,"Leslie, Martin",10,6,11,21,,,,1.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",11,6,2,13,,2.0,,1.0,,,,,4.0,1.0,,,,,,,,,
2,"McAdam, Gilbert",10,3,8,18,2,,,2.0,,,,,1.0,2.0,,,,,,,,,
7,"McIvor, Scott",5,3,,5,,1.0,,2.0,,,,,,,,,,,,,,,
19,"McLean, Michael",14,3,12,26,,,,1.0,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",8,5,3,11,5,2.0,1.0,,,,,,2.0,,,,,,,,,,
8,"Peos, Paul",14,9,4,18,3,4.0,,2.0,,,,,1.0,,,,,,,,,,
22,"Scott, Chris",9,6,5,14,2,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,
38,"Scott, Dion",2,4,4,6,,,1.0,1.0,,,,,,,,,,,,,,,
9,"Starcevich, Craig",2,1,1,3,,,,,,,,,,,,,,,,,,,
33,"White, Darryl",6,4,5,11,,,1.0,2.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,97,128,334,17,18.0,17.0,30.0,,,,,19.0,14.0,6.0,,,,,,,,
Opposition,Opposition,172,52,104,276,12,21.0,14.0,24.0,,,,,14.0,19.0,,,,,,,,,
