Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",23y 248d,44 (21-0-23 47.73%),2 (0.05),←,
19,"Betts, Eddie",23y 274d,119 (41-2-76 35.29%),165 (1.39),←,
18,"Bower, Paul",22y 230d,56 (20-0-36 35.71%),3 (0.05),←,
44,"Carrazzo, Andrew",26y 255d,121 (43-2-76 36.36%),36 (0.30),←,
31,"Davies, Marcus",19y 143d,4 (2-0-2 50.00%),,←,
46,"Ellard, David",21y 167d,7 (4-0-3 57.14%),3 (0.43),←,
38,"Garlett, Jeff",21y 24d,29 (17-0-12 58.62%),49 (1.69),←,
4,"Gibbs, Bryce",21y 165d,88 (37-0-51 42.05%),40 (0.45),←,
16,"Grigg, Shaun",22y 130d,43 (18-0-25 41.86%),10 (0.23),←,
22,"Hampson, Shaun",22y 159d,35 (17-0-18 48.57%),11 (0.31),←,
23,"Henderson, Lachie",20y 256d,33 (16-0-17 48.48%),26 (0.79),18 (8-0-10 44.44%),23 (1.28)
40,"Jamison, Michael",24y 77d,56 (26-0-30 46.43%),,←,
45,"Joseph, Aaron",21y 54d,44 (24-0-20 54.55%),5 (0.11),←,
5,"Judd, Chris",26y 353d,197 (116-2-79 59.39%),179 (0.91),63 (32-0-31 50.79%),41 (0.65)
3,"Murphy, Marc",23y 39d,101 (40-0-61 39.60%),81 (0.80),←,
12,"Robinson, Mitch",21y 81d,25 (14-0-11 56.00%),19 (0.76),←,
2,"Russell, Jordan",23y 294d,92 (37-1-54 40.76%),15 (0.16),←,
29,"Scotland, Heath",30y 37d,198 (75-1-122 38.13%),67 (0.34),145 (52-1-92 36.21%),55 (0.38)
6,"Simpson, Kade",26y 114d,132 (48-1-83 36.74%),79 (0.60),←,
30,"Waite, Jarrad",27y 204d,130 (40-2-88 31.54%),150 (1.15),←,
11,"Warnock, Robert",23y 220d,32 (16-0-16 50.00%),6 (0.19),11 (6-0-5 54.55%),2 (0.18)
13,"Yarran, Chris",19y 251d,22 (9-0-13 40.91%),23 (1.05),←,
Totals,Totals,23y 122d,1608 (681-11-916 42.35%),969 (0.60),,
C,"Ratten, Brett",39y 47d,73 (34-0-39 46.58%),,←,
