Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",22y 138d,31 (17-0-14 54.84%),4 (0.13),←,
27,"Ball, Jason",32y 139d,175 (105-0-70 60.00%),157 (0.90),72 (42-0-30 58.33%),43 (0.60)
21,"Barry, Leo",27y 325d,148 (83-0-65 56.08%),50 (0.34),←,
42,"Bevan, Paul",20y 194d,27 (16-0-11 59.26%),10 (0.37),←,
6,"Bolton, Craig",24y 313d,80 (48-0-32 60.00%),17 (0.21),51 (31-0-20 60.78%),7 (0.14)
24,"Bolton, Jude",25y 25d,118 (61-1-56 52.12%),68 (0.58),←,
32,"Buchanan, Amon",22y 181d,25 (13-0-12 52.00%),9 (0.36),←,
28,"Crouch, Jared",27y 35d,159 (83-1-75 52.52%),35 (0.22),←,
2,"Davis, Nick",25y 10d,110 (52-0-58 47.27%),143 (1.30),39 (22-0-17 56.41%),58 (1.49)
26,"Dempster, Sean",21y 79d,1 (1-0-0 100.00%),,←,
37,"Goodes, Adam",25y 91d,138 (71-1-66 51.81%),145 (1.05),←,
1,"Hall, Barry",28y 60d,156 (71-2-83 46.15%),346 (2.22),68 (37-1-30 55.15%),202 (2.97)
16,"Jolly, Darren",23y 154d,51 (22-0-29 43.14%),15 (0.29),3 (2-0-1 66.67%),4 (1.33)
17,"Kennelly, Tadhg",23y 282d,78 (45-0-33 57.69%),25 (0.32),←,
31,"Kirk, Brett",28y 166d,100 (53-1-46 53.50%),46 (0.46),←,
4,"Mathews, Ben",26y 131d,137 (72-1-64 52.92%),25 (0.18),←,
11,"Maxfield, Stuart",33y,287 (145-3-139 51.05%),151 (0.53),198 (110-2-86 56.06%),86 (0.43)
23,"Nicks, Matthew",29y 331d,169 (94-1-74 55.92%),124 (0.73),←,
5,"OKeefe, Ryan",24y 75d,70 (39-0-31 55.71%),71 (1.01),←,
30,"Roberts-Thomson, Lewis",21y 213d,26 (16-0-10 61.54%),5 (0.19),←,
8,"Spriggs, David",24y 74d,65 (27-2-36 43.08%),20 (0.31),1 (1-0-0 100.00%),
10,"Williams, Paul",32y 6d,278 (129-3-146 46.94%),300 (1.08),89 (48-1-40 54.49%),77 (0.87)
Totals,Totals,25y 320d,2429 (1263-16-1150 52.00%),1766 (0.73),,
C,"Roos, Paul",41y 286d,61 (37-0-24 60.66%),,←,
