Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",26y 204d,142 (65-2-75 46.48%),82 (0.58),15 (2-0-13 13.33%),6 (0.40)
32,"Baldwin, Jason",25y 250d,107 (37-0-70 34.58%),29 (0.27),←,
41,"Bird, Peter",19y 166d,9 (2-0-7 22.22%),5 (0.56),←,
14,"Bizzotto, Frank",24y 46d,29 (8-0-21 27.59%),3 (0.10),←,
1,"Boyd, Brad",23y 339d,50 (15-0-35 30.00%),38 (0.76),←,
40,"Bruce, Jeff",21y 248d,7 (0-0-7 0.00%),3 (0.43),←,
35,"Cook, Brett",22y 87d,15 (1-0-14 6.67%),4 (0.27),←,
31,"Dent, Matthew",23y 179d,21 (3-0-18 14.29%),3 (0.14),←,
17,"Hawking, Simon",22y 132d,37 (11-0-26 29.73%),2 (0.05),←,
3,"Hawkins, Doug",35y 71d,344 (146-4-194 43.02%),225 (0.65),15 (2-0-13 13.33%),9 (0.60)
10,"Hogg, Jeff",28y 273d,168 (45-0-123 26.79%),339 (2.02),24 (4-0-20 16.67%),33 (1.38)
19,"Holmes, Darren",24y 315d,54 (9-2-43 18.52%),7 (0.13),12 (2-0-10 16.67%),1 (0.08)
2,"Johnson, Chris",19y 46d,31 (6-0-25 19.35%),44 (1.42),←,
36,"Lamb, Wayne",22y 269d,11 (0-1-10 4.55%),5 (0.45),9 (0-0-9 0.00%),5 (0.56)
38,"McCarthy, Adam",23y 151d,25 (8-0-17 32.00%),10 (0.40),10 (2-0-8 20.00%),7 (0.70)
25,"McCarthy, John",28y 107d,142 (51-1-90 36.27%),167 (1.18),50 (13-0-37 26.00%),66 (1.32)
4,"Paxman, Stephen",24y 223d,74 (21-0-53 28.38%),14 (0.19),←,
29,"Payne, Darren",21y 14d,4 (0-0-4 0.00%),,←,
8,"Pike, Martin",22y 243d,33 (11-0-22 33.33%),33 (1.00),9 (1-0-8 11.11%),8 (0.89)
37,"Rombotis, John",18y 275d,4 (1-0-3 25.00%),1 (0.25),←,
16,"Zanotti, Mark",30y 249d,150 (43-0-107 28.67%),19 (0.13),50 (15-0-35 30.00%),8 (0.16)
Totals,Totals,24y 98d,1457 (483-10-964 33.15%),1033 (0.71),,
C,"Quinlan, Bernie",43y 359d,15 (2-0-13 13.33%),,←,
