Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",29y 325d,149 (86-0-63 57.72%),5 (0.03),85 (57-0-28 67.06%),
14,"Bergman, Miles",22y 282d,76 (49-0-27 64.47%),20 (0.26),←,
10,"Boak, Travis",35y 360d,364 (192-1-171 52.88%),206 (0.57),←,
7,"Burgoyne, Jase",21y 11d,29 (14-0-15 48.28%),3 (0.10),←,
9,"Butters, Zak",23y 322d,112 (69-0-43 61.61%),65 (0.58),←,
33,"Byrne-Jones, Darcy",28y 310d,192 (115-0-77 59.90%),46 (0.24),←,
22,"Dixon, Charlie",33y 307d,216 (114-1-101 53.01%),351 (1.63),151 (95-0-56 62.91%),257 (1.70)
28,"Drew, Willem",25y 299d,100 (62-0-38 62.00%),18 (0.18),←,
31,"Evans, Francis",22y 338d,27 (20-0-7 74.07%),17 (0.63),20 (13-0-7 65.00%),14 (0.70)
43,"Evans, Logan",18y 293d,6 (4-0-2 66.67%),2 (0.33),←,
6,"Farrell, Kane",25y 131d,89 (55-0-34 61.80%),46 (0.52),←,
19,"Georgiades, Mitch",22y 302d,64 (41-0-23 64.06%),98 (1.53),←,
18,"Horne-Francis, Jason",21y 35d,58 (30-0-28 51.72%),38 (0.66),41 (28-0-13 68.29%),34 (0.83)
5,"Houston, Dan",27y 75d,165 (104-0-61 63.03%),39 (0.24),←,
34,"Jones, Lachie",22y 108d,49 (28-0-21 57.14%),6 (0.12),←,
44,"Mead, Jackson",22y 300d,37 (21-0-16 56.76%),9 (0.24),←,
42,"Narkle, Quinton",26y 236d,51 (34-0-17 66.67%),25 (0.49),10 (7-0-3 70.00%),7 (0.70)
27,"Ratugolea, Esava",26y 2d,91 (59-1-31 65.38%),41 (0.45),16 (10-0-6 62.50%),3 (0.19)
15,"Rioli, Willie",29y 52d,83 (54-0-29 65.06%),111 (1.34),32 (23-0-9 71.88%),51 (1.59)
1,"Rozee, Connor",24y 186d,122 (76-0-46 62.30%),108 (0.89),←,
24,"Sweet, Jordon",26y 175d,21 (15-0-6 71.43%),4 (0.19),10 (6-0-4 60.00%),2 (0.20)
16,"Wines, Ollie",29y 293d,246 (146-0-100 59.35%),99 (0.40),←,
25,"Zerk-Thatcher, Brandon",25y 336d,70 (36-1-33 52.14%),,19 (12-0-7 63.16%),
Totals,Totals,25y 300d,2417 (1424-4-989 58.92%),1357 (0.56),,
C,"Hinkley, Ken",57y 300d,267 (160-0-107 59.93%),,←,
