Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",29y 284d,229 (109-1-119 47.82%),148 (0.65),←,
26,"Bonner, Riley",21y 66d,12 (8-0-4 66.67%),3 (0.25),←,
33,"Byrne-Jones, Darcy",22y 234d,51 (28-0-23 54.90%),5 (0.10),←,
17,"Clurey, Tom",24y 50d,48 (29-0-19 60.42%),,←,
22,"Dixon, Charlie",27y 231d,114 (46-1-67 40.79%),178 (1.56),49 (27-0-22 55.10%),84 (1.71)
7,"Ebert, Brad",28y 40d,221 (102-1-118 46.38%),111 (0.50),145 (74-1-70 51.38%),78 (0.54)
9,"Gray, Robbie",30y 43d,185 (88-0-97 47.57%),268 (1.45),←,
46,"Gray, Sam",26y 100d,65 (39-0-26 60.00%),55 (0.85),←,
36,"Hombsch, Jack",25y 66d,88 (46-0-42 52.27%),1 (0.01),79 (46-0-33 58.23%),1 (0.01)
43,"Houston, Dan",21y,25 (16-0-9 64.00%),3 (0.12),←,
32,"Howard, Dougal",22y 48d,18 (11-0-7 61.11%),4 (0.22),←,
42,"Jonas, Tom",27y 123d,111 (57-1-53 51.80%),1 (0.01),←,
6,"Motlop, Steven",27y 61d,143 (95-2-46 67.13%),182 (1.27),8 (5-0-3 62.50%),7 (0.88)
3,"Neade, Jake",23y 348d,62 (35-0-27 56.45%),55 (0.89),←,
21,"Polec, Jared",25y 212d,92 (52-0-40 56.52%),50 (0.54),76 (45-0-31 59.21%),41 (0.54)
2,"Powell-Pepper, Sam",20y 124d,26 (17-0-9 65.38%),18 (0.69),←,
11,"Rockliff, Tom",28y 79d,159 (50-0-109 31.45%),90 (0.57),5 (4-0-1 80.00%),3 (0.60)
4,"Ryder, Paddy",30y 59d,213 (105-4-104 50.23%),149 (0.70),43 (26-0-17 60.47%),32 (0.74)
23,"Watts, Jack",27y 47d,161 (51-2-108 32.30%),152 (0.94),8 (5-0-3 62.50%),9 (1.13)
39,"Westhoff, Justin",31y 223d,234 (111-1-122 47.65%),270 (1.15),←,
16,"Wines, Ollie",23y 217d,115 (64-0-51 55.65%),54 (0.47),←,
20,"Wingard, Chad",24y 287d,133 (69-1-63 52.26%),219 (1.65),←,
Totals,Totals,25y 300d,2505 (1228-14-1263 49.02%),2016 (0.80),,
C,"Hinkley, Ken",51y 224d,123 (70-0-53 56.91%),,←,
