Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
33,"Baker, Oskar",21y 36d,6 (1-0-5 16.67%),2 (0.33),←,
10,"Brayshaw, Angus",23y 172d,72 (34-0-38 47.22%),35 (0.49),←,
31,"Fritsch, Bayley",22y 206d,37 (20-0-17 54.05%),21 (0.57),←,
17,"Frost, Sam",25y 306d,83 (35-0-48 42.17%),8 (0.10),62 (30-0-32 48.39%),6 (0.10)
11,"Gawn, Max",27y 182d,113 (46-0-67 40.71%),54 (0.48),←,
19,"Hannan, Mitch",25y 113d,39 (23-0-16 58.97%),48 (1.23),←,
4,"Harmes, James",23y 268d,83 (41-0-42 49.40%),53 (0.64),←,
14,"Hibberd, Michael",29y 178d,134 (67-1-66 50.37%),13 (0.10),50 (27-0-23 54.00%),2 (0.04)
34,"Hore, Marty",23y 117d,11 (4-0-7 36.36%),1 (0.09),←,
29,"Hunt, Jayden",24y 88d,61 (28-0-33 45.90%),25 (0.41),←,
2,"Jones, Nathan",31y 161d,278 (87-3-188 31.83%),137 (0.49),←,
41,"Lockhart, Jay",23y 147d,9 (3-0-6 33.33%),9 (1.00),←,
1,"May, Steven",27y 171d,127 (39-1-87 31.10%),22 (0.17),4 (1-0-3 25.00%),1 (0.25)
25,"McDonald, Tom",26y 285d,160 (58-0-102 36.25%),96 (0.60),←,
30,"Neal-Bullen, Alex",23y 172d,67 (34-0-33 50.75%),53 (0.79),←,
13,"Oliver, Clayton",21y 343d,74 (39-0-35 52.70%),24 (0.32),←,
5,"Petracca, Christian",23y 177d,77 (38-0-39 49.35%),71 (0.92),←,
35,"Petty, Harry",19y 230d,5 (1-0-4 20.00%),,←,
3,"Salem, Christian",23y 350d,82 (36-0-46 43.90%),19 (0.23),←,
38,"Smith, Tim",28y 130d,12 (4-0-8 33.33%),10 (0.83),←,
7,"Viney, Jack",25y 78d,111 (39-0-72 35.14%),30 (0.27),←,
26,"Weideman, Sam",22y 4d,30 (14-0-16 46.67%),26 (0.87),←,
Totals,Totals,24y 261d,1671 (691-5-975 41.35%),757 (0.45),,
C,"Goodwin, Simon",42y 186d,62 (32-0-30 51.61%),,61 (32-0-29 52.46%),
