Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",19y 250d,19 (10-0-9 52.63%),5 (0.26),←,
12,"Akermanis, Jason",28y 149d,230 (145-4-81 63.91%),292 (1.27),192 (122-3-67 64.32%),248 (1.29)
20,"Black, Simon",26y 111d,165 (113-1-51 68.79%),112 (0.68),←,
36,"Bradshaw, Daniel",26y 244d,154 (96-2-56 62.99%),296 (1.92),151 (93-2-56 62.25%),296 (1.96)
16,"Brown, Jonathan",23y 267d,105 (79-0-26 75.24%),156 (1.49),←,
19,"Charman, Jamie",23y 7d,68 (49-1-18 72.79%),20 (0.29),←,
18,"Corrie, Anthony",21y 31d,22 (11-0-11 50.00%),23 (1.05),←,
39,"Drummond, Josh",22y 95d,10 (7-0-3 70.00%),5 (0.50),←,
2,"Johnson, Chris",29y 54d,239 (121-3-115 51.26%),156 (0.65),180 (114-3-63 64.17%),89 (0.49)
27,"Keating, Clark",29y 126d,131 (87-2-42 67.18%),82 (0.63),117 (77-1-39 66.24%),73 (0.62)
44,"Lappin, Nigel",29y 32d,254 (152-4-98 60.63%),169 (0.67),193 (120-3-70 62.95%),129 (0.67)
26,"Macdonald, Joel",20y 286d,27 (16-0-11 59.26%),4 (0.15),←,
9,"McGrath, Ashley",22y 64d,67 (43-1-23 64.93%),51 (0.76),←,
21,"Merrett, Daniel",20y 223d,12 (7-0-5 58.33%),12 (1.00),←,
15,"Michael, Mal",28y 29d,175 (102-1-72 58.57%),26 (0.15),114 (81-1-32 71.49%),3 (0.03)
8,"Notting, Tim",26y 275d,129 (89-1-39 69.38%),106 (0.82),←,
6,"Power, Luke",25y 196d,149 (100-1-48 67.45%),159 (1.07),←,
5,"Scott, Brad",29y 81d,146 (87-2-57 60.27%),44 (0.30),124 (79-2-43 64.52%),38 (0.31)
28,"Selwood, Troy",21y 83d,15 (8-0-7 53.33%),2 (0.13),←,
29,"Sherman, Justin",18y 178d,14 (8-0-6 57.14%),9 (0.64),←,
3,"Voss, Michael",30y 16d,263 (159-2-102 60.84%),238 (0.90),184 (121-1-62 66.03%),166 (0.90)
33,"White, Darryl",32y 41d,265 (145-5-115 55.66%),163 (0.62),175 (106-3-66 61.43%),57 (0.33)
Totals,Totals,25y 63d,2659 (1634-30-995 61.45%),2130 (0.80),,
C,"Matthews, Leigh",53y 144d,391 (240-6-145 62.15%),,167 (115-1-51 69.16%),
