Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Anderson, Dean",22,9,10,32,2,1.0,,1.0,,,,,1.0,,,,,,,,,,
7,"Ayres, Gary",19,4,9,28,1,,,5.0,,,,,2.0,2.0,2.0,,,,,,,,
23,"Brereton, Dermott",13,5,4,17,2,1.0,,,,,,,2.0,1.0,,,,,,,,,
4,"Collins, Andrew",19,8,7,26,,,,1.0,,,,,1.0,3.0,3.0,,,,,,,,
3,"Condon, Anthony",7,,,7,,,,2.0,,,,,,1.0,,,,,,,,,
32,"Cooper, Paul",14,4,4,18,,,,,,,,,2.0,,,,,,,,,,
14,"Dear, Greg",13,2,2,15,,,12.0,1.0,,,,,1.0,2.0,,,,,,,,,
13,"Dear, Paul",9,6,7,16,1,,3.0,3.0,,,,,3.0,3.0,,,,,,,,,
21,"Dickson, Robert",16,2,6,22,,,,1.0,,,,,,,,,,,,,,,
19,"Dunstall, Jason",10,7,2,12,8,1.0,,,,,,,2.0,,,,,,,,,,
33,"Hudson, Paul",7,3,7,14,,2.0,,,,,,,1.0,3.0,,,,,,,,,
1,"Jencke, Ray",10,4,1,11,1,1.0,,,,,,,1.0,,,,,,,,,,
34,"Kennedy, John",9,8,14,23,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
24,"Langford, Chris",7,3,7,14,,,,1.0,,,,,,,,,,,,,,,
12,"Lawrence, Stephen",2,,1,3,,,3.0,,,,,,2.0,,,,,,,,,,
15,"Morris, Russell",18,6,5,23,,,,1.0,,,,,2.0,1.0,,,,,,,,,
44,"Platten, John",11,3,5,16,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
18,"Pritchard, Darrin",14,1,18,32,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
30,"Schwab, Peter",13,4,14,27,1,,,2.0,,,,,3.0,1.0,1.0,,,,,,,,
17,"Tuck, Michael",11,2,5,16,,1.0,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,244,81,128,372,18,12.0,18.0,25.0,,,,,26.0,20.0,6.0,,,,,,,,
Opposition,Opposition,203,68,59,262,5,8.0,29.0,41.0,,,,,20.0,26.0,,,,,,,,,
