North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
4,"Anthony, Liam",24y 344d,46 (22-1-23 48.91%),25 (0.54),←,
18,"Atley, Shaun",19y 340d,36 (20-0-16 55.56%),5 (0.14),←,
3,"Bastinac, Ryan",21y 57d,54 (31-0-23 57.41%),21 (0.39),←,
33,"Campbell, Matt",25y 210d,79 (44-1-34 56.33%),73 (0.92),←,
10,"Cunnington, Ben",21y 49d,51 (27-0-24 52.94%),14 (0.27),←,
15,"Delaney, Luke",23y 55d,19 (10-0-9 52.63%),,←,
11,"Firrito, Michael",28y 265d,190 (95-2-93 50.53%),28 (0.15),←,
32,"Garlett, Cruize",23y 165d,30 (15-0-15 50.00%),9 (0.30),←,
43,"Gibson, Sam",26y 83d,10 (9-0-1 90.00%),3 (0.30),←,
22,"Goldstein, Todd",24y 48d,76 (40-1-35 53.29%),36 (0.47),←,
6,"Hansen, Lachlan",24y 1d,76 (38-1-37 50.66%),65 (0.86),←,
23,"Harper, Kieran",20y 64d,34 (21-0-13 61.76%),32 (0.94),←,
29,"Harvey, Brent",34y 96d,343 (186-3-154 54.66%),404 (1.18),←,
34,"Macmillan, Jamie",20y 330d,33 (21-0-12 63.64%),13 (0.39),←,
42,"McMahon, Scott",26y 77d,103 (54-1-48 52.91%),27 (0.26),←,
20,"Petrie, Drew",29y 308d,219 (106-3-110 49.09%),258 (1.18),←,
9,"Swallow, Andrew",25y 77d,126 (60-1-65 48.02%),64 (0.51),←,
25,"Tarrant, Robbie",23y 115d,22 (12-0-10 54.55%),24 (1.09),←,
12,"Thomas, Lindsay",24y 172d,107 (50-2-55 47.66%),146 (1.36),←,
16,"Thompson, Scott",26y 101d,90 (40-2-48 45.56%),3 (0.03),←,
19,"Wright, Sam",22y 34d,51 (27-0-24 52.94%),45 (0.88),←,
7,"Ziebell, Jack",21y 172d,59 (28-0-31 47.46%),19 (0.32),←,
Totals,Totals,24y 144d,1854 (956-18-880 51.56%),1314 (0.71),,
C,"Scott, Brad",36y 107d,64 (34-0-30 53.13%),,←,
