Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
16,"Barnard, Paul",29y 179d,135 (91-1-43 67.78%),68 (0.50),124 (88-1-35 71.37%),64 (0.52)
32,"Blumfield, Justin",24y 260d,126 (84-1-41 67.06%),86 (0.68),←,
23,"Bolton, Mark",23y 130d,33 (19-1-13 59.09%),10 (0.30),←,
33,"Caracella, Blake",25y 149d,121 (82-1-38 68.18%),145 (1.20),←,
31,"Fletcher, Dustin",27y 96d,186 (129-3-54 70.16%),59 (0.32),←,
15,"Forster-Knight, Robert",20y 127d,25 (15-1-9 62.00%),,←,
26,"Heffernan, Chris",23y 194d,93 (64-1-28 69.35%),37 (0.40),←,
34,"Hille, David",21y 70d,23 (14-0-9 60.87%),11 (0.48),←,
5,"Hird, James",29y 188d,164 (104-5-55 64.94%),260 (1.59),←,
21,"Jacobs, Danny",22y 47d,52 (36-1-15 70.19%),16 (0.31),←,
14,"Johnson, Jason",24y 198d,83 (61-1-21 74.10%),48 (0.58),←,
1,"Johnson, Mark",24y 80d,81 (63-1-17 78.40%),20 (0.25),←,
18,"Lloyd, Matthew",24y 117d,139 (89-2-48 64.75%),492 (3.54),←,
25,"Lucas, Scott",24y 224d,131 (85-1-45 65.27%),202 (1.54),←,
10,"McVeigh, Mark",21y 197d,52 (34-1-17 66.35%),27 (0.52),←,
24,"Misiti, Joe",27y 275d,191 (122-4-65 64.92%),83 (0.43),←,
29,"Moorcroft, Gary",26y 117d,90 (62-0-28 68.89%),93 (1.03),←,
11,"Peverill, Damien",23y 30d,25 (15-1-9 62.00%),8 (0.32),←,
9,"Ramanauskas, Adam",21y 265d,70 (52-1-17 75.00%),38 (0.54),←,
4,"Salmon, Paul",37y 203d,319 (170-5-144 54.08%),559 (1.75),219 (128-3-88 59.13%),518 (2.37)
6,"Wellman, Sean",27y 325d,175 (105-3-67 60.86%),32 (0.18),141 (92-2-47 65.96%),23 (0.16)
41,"Welsh, Andrew",19y 181d,11 (5-1-5 50.00%),,←,
Totals,Totals,24y 365d,2325 (1501-36-788 64.56%),2294 (0.99),,
C,"Sheedy, Kevin",54y 230d,516 (334-6-176 65.31%),,←,
