Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",28y 34d,191 (110-0-81 57.59%),169 (0.88),68 (26-0-42 38.24%),49 (0.72)
36,"Browne, Andrew",19y 326d,6 (3-0-3 50.00%),2 (0.33),←,
9,"Carr, Matthew",25y 97d,94 (32-1-61 34.57%),42 (0.45),66 (25-0-41 37.88%),40 (0.61)
38,"Cunningham, Ben",22y 134d,28 (9-0-19 32.14%),17 (0.61),←,
5,"Dunn, Ryley",18y 180d,2 (1-0-1 50.00%),,←,
33,"Farmer, Jeff",26y 285d,160 (73-0-87 45.63%),319 (1.99),42 (21-0-21 50.00%),60 (1.43)
27,"Gilmore, Daniel",21y 33d,2 (1-0-1 50.00%),,←,
42,"Haddrill, Robert",23y 67d,33 (17-0-16 51.52%),,←,
4,"Hasleby, Paul",22y 297d,88 (33-0-55 37.50%),65 (0.74),←,
43,"Hayden, Roger",23y 117d,28 (16-0-12 57.14%),1 (0.04),←,
20,"Longmuir, Justin",23y 74d,81 (30-0-51 37.04%),108 (1.33),←,
8,"McManus, Shaun",28y 55d,148 (52-0-96 35.14%),69 (0.47),←,
18,"McPharlin, Luke",22y 125d,37 (20-0-17 54.05%),10 (0.27),25 (12-0-13 48.00%),7 (0.28)
34,"Medhurst, Paul",22y 115d,45 (23-0-22 51.11%),90 (2.00),←,
23,"Parker, Shane",31y 46d,164 (56-0-108 34.15%),9 (0.05),←,
29,"Pavlich, Matthew",22y 95d,86 (32-0-54 37.21%),93 (1.08),←,
31,"Sandilands, Aaron",21y 120d,21 (14-0-7 66.67%),5 (0.24),←,
3,"Schammer, Byron",18y 288d,19 (12-0-7 63.16%),4 (0.21),←,
2,"Simmonds, Troy",25y 266d,84 (42-0-42 50.00%),33 (0.39),44 (22-0-22 50.00%),26 (0.59)
19,"Walker, James",25y 80d,100 (36-0-64 36.00%),10 (0.10),←,
26,"Waterhouse, Clive",29y 286d,101 (36-0-65 35.64%),173 (1.71),←,
6,"Woods, Dion",22y 70d,41 (19-0-22 46.34%),4 (0.10),←,
Totals,Totals,23y 294d,1559 (667-1-891 42.78%),1223 (0.78),,
C,"Connolly, Chris",41y 10d,48 (25-0-23 52.08%),,47 (24-0-23 51.06%),
