Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
19,"Bennett, Darren",26y 94d,44 (27-0-17 61.36%),146 (3.32),40 (26-0-14 65.00%),139 (3.47)
24,"Beveridge, Luke",20y 233d,18 (11-0-7 61.11%),16 (0.89),←,
30,"Bryce, Paul",22y 275d,50 (23-1-26 47.00%),26 (0.52),2 (1-0-1 50.00%),
4,"Campbell, Tony",23y 243d,71 (36-0-35 50.70%),60 (0.85),←,
32,"Clark, Steven",29y 333d,60 (37-1-22 62.50%),80 (1.33),7 (5-0-2 71.43%),7 (1.00)
48,"Cuthbertson, Darren",21y 6d,3 (2-0-1 66.67%),4 (1.33),←,
23,"Dyson, Kevin",23y 344d,2 (1-0-1 50.00%),3 (1.50),←,
25,"Eishold, Simon",24y 18d,60 (43-0-17 71.67%),43 (0.72),←,
21,"Febey, Steven",21y 237d,59 (37-0-22 62.71%),10 (0.17),←,
45,"Jackson, Ricky",23y 298d,72 (46-0-26 63.89%),112 (1.56),←,
17,"Lovett, Brett",24y 328d,102 (64-0-38 62.75%),11 (0.11),←,
6,"Lovett, Glenn",21y 264d,21 (11-0-10 52.38%),8 (0.38),←,
3,"Lyon, Garry",23y 212d,99 (62-0-37 62.63%),130 (1.31),←,
1,"ODwyer, Steven",25y 84d,77 (47-0-30 61.04%),41 (0.53),←,
7,"Owen, Rod",24y 72d,64 (17-0-47 26.56%),111 (1.73),4 (2-0-2 50.00%),8 (2.00)
5,"Spalding, Earl",26y 33d,91 (59-0-32 64.84%),51 (0.56),←,
18,"Stretch, Steven",27y 98d,116 (68-0-48 58.62%),38 (0.33),←,
11,"Stynes, Jim",24y 355d,91 (59-0-32 64.84%),71 (0.78),←,
12,"Viney, Todd",25y 14d,56 (32-0-24 57.14%),29 (0.52),←,
27,"Wight, Sean",27y 29d,83 (46-0-37 55.42%),55 (0.66),←,
Totals,Totals,24y 142d,1239 (728-2-509 58.76%),1045 (0.84),,
C,"Northey, John",47y 288d,147 (77-0-70 52.38%),,125 (71-0-54 56.80%),
