Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",29y 201d,133 (76-0-57 57.14%),5 (0.04),69 (47-0-22 68.12%),
14,"Bergman, Miles",22y 158d,59 (39-0-20 66.10%),17 (0.29),←,
10,"Boak, Travis",35y 236d,350 (183-1-166 52.43%),204 (0.58),←,
7,"Burgoyne, Jase",20y 253d,14 (6-0-8 42.86%),2 (0.14),←,
3,"Burton, Ryan",27y 53d,141 (85-1-55 60.64%),21 (0.15),94 (60-0-34 63.83%),16 (0.17)
9,"Butters, Zak",23y 198d,95 (59-0-36 62.11%),56 (0.59),←,
33,"Byrne-Jones, Darcy",28y 186d,175 (105-0-70 60.00%),29 (0.17),←,
22,"Dixon, Charlie",33y 183d,205 (107-1-97 52.44%),338 (1.65),140 (88-0-52 62.86%),244 (1.74)
28,"Drew, Willem",25y 175d,83 (52-0-31 62.65%),18 (0.22),←,
31,"Evans, Francis",22y 214d,19 (16-0-3 84.21%),14 (0.74),12 (9-0-3 75.00%),11 (0.92)
6,"Farrell, Kane",25y 7d,73 (46-0-27 63.01%),42 (0.58),←,
11,"Finlayson, Jeremy",28y 44d,110 (64-3-43 59.55%),152 (1.38),44 (28-0-16 63.64%),62 (1.41)
5,"Houston, Dan",26y 317d,148 (94-0-54 63.51%),35 (0.24),←,
34,"Jones, Lachie",21y 350d,37 (21-0-16 56.76%),6 (0.16),←,
4,"Marshall, Todd",25y 168d,99 (66-0-33 66.67%),142 (1.43),←,
44,"Mead, Jackson",22y 176d,20 (11-0-9 55.00%),4 (0.20),←,
27,"Ratugolea, Esava",25y 244d,77 (51-1-25 66.88%),38 (0.49),2 (2-0-0 100.00%),
15,"Rioli, Willie",28y 294d,72 (46-0-26 63.89%),92 (1.28),21 (15-0-6 71.43%),32 (1.52)
1,"Rozee, Connor",24y 62d,108 (68-0-40 62.96%),100 (0.93),←,
13,"Soldo, Ivan",27y 345d,59 (39-2-18 67.80%),25 (0.42),2 (2-0-0 100.00%),2 (1.00)
23,"Williams, Dylan",22y 267d,23 (18-0-5 78.26%),,←,
16,"Wines, Ollie",29y 169d,230 (137-0-93 59.57%),93 (0.40),←,
25,"Zerk-Thatcher, Brandon",25y 212d,53 (26-1-26 50.00%),,2 (2-0-0 100.00%),
Totals,Totals,26y 85d,2383 (1415-10-958 59.38%),1433 (0.60),,
C,"Hinkley, Ken",57y 176d,250 (150-0-100 60.00%),,←,
