St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",27y 362d,134 (76-1-57 57.09%),97 (0.72),51 (18-1-32 36.27%),23 (0.45)
14,"Bardsley, Kristian",22y 319d,31 (12-1-18 40.32%),17 (0.55),26 (10-1-15 40.38%),13 (0.50)
26,"Brown, Tony",18y 62d,12 (5-0-7 41.67%),5 (0.42),←,
3,"Burke, Nathan",25y 173d,177 (75-2-100 42.94%),58 (0.33),←,
42,"Coghlan, Glen",21y,11 (3-0-8 27.27%),7 (0.64),←,
36,"Fode, Gordon",23y 358d,51 (20-0-31 39.22%),31 (0.61),←,
2,"Frawley, Danny",31y 324d,235 (82-2-151 35.32%),13 (0.06),←,
35,"Harvey, Robert",23y 342d,129 (62-2-65 48.84%),76 (0.59),←,
18,"Jackson, Matthew",20y 348d,3 (1-0-2 33.33%),2 (0.67),←,
17,"Keogh, Rod",24y 126d,50 (22-0-28 44.00%),14 (0.28),28 (10-0-18 35.71%),6 (0.21)
23,"Loewe, Stewart",27y 67d,186 (78-1-107 42.20%),305 (1.64),←,
28,"OBrien, Craig",25y 148d,68 (32-1-35 47.79%),120 (1.76),47 (18-1-28 39.36%),104 (2.21)
8,"Peckett, Justin",22y 297d,51 (20-1-30 40.20%),1 (0.02),←,
41,"Pekin, Tim",30y 188d,216 (104-2-110 48.61%),52 (0.24),109 (55-2-52 51.38%),37 (0.34)
31,"Shanahan, Jamie",27y 235d,74 (34-1-39 46.62%),,←,
13,"Sierakowski, David",20y 212d,16 (4-1-11 28.13%),3 (0.19),←,
4,"Smith, Joel",18y 87d,15 (5-0-10 33.33%),4 (0.27),←,
19,"Sziller, Steven",22y 226d,17 (5-0-12 29.41%),6 (0.35),←,
15,"Wakelin, Darryl",20y 352d,16 (5-0-11 31.25%),,←,
12,"Wakelin, Shane",20y 351d,23 (7-1-15 32.61%),8 (0.35),←,
7,"Winmar, Nicky",29y 307d,170 (73-1-96 43.24%),229 (1.35),←,
Totals,Totals,24y 59d,1685 (725-17-943 43.03%),1048 (0.62),,
C,"Alves, Stan",49y 68d,39 (12-1-26 32.05%),,←,
