West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Banfield, Drew",7,3,6,13,,,,1.0,,,,,2.0,1.0,,,,,,,,,
35,"Cousins, Ben",7,2,8,15,4,1.0,,3.0,,,,,,2.0,,,,,,,,,
29,"Donnelly, Andrew",6,2,7,13,,,3.0,2.0,,,,,3.0,,,,,,,,,,
22,"Downsborough, Ian",5,3,4,9,,,11.0,1.0,,,,,,1.0,,,,,,,,,
18,"Evans, Tony",10,4,8,18,1,1.0,,2.0,,,,,1.0,1.0,3.0,,,,,,,,
7,"Gehrig, Fraser",7,2,3,10,,,,1.0,,,,,2.0,2.0,,,,,,,,,
36,"Hart, David",11,2,3,14,2,,,1.0,,,,,,2.0,,,,,,,,,
1,"Heady, Brett",17,6,6,23,,1.0,,1.0,,,,,1.0,,,,,,,,,,
31,"Heatley, Jason",7,2,2,9,3,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
2,"Kemp, Dean",13,1,9,22,2,,,2.0,,,,,3.0,2.0,2.0,,,,,,,,
5,"Lovell, Andy",5,2,4,9,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
3,"Mainwaring, Chris",13,4,4,17,,,,3.0,,,,,1.0,2.0,,,,,,,,,
30,"Matera, Peter",17,4,3,20,,,,3.0,,,,,3.0,2.0,1.0,,,,,,,,
11,"McIntosh, Ashley",3,3,14,17,,,,2.0,,,,,,,,,,,,,,,
17,"McKenna, Guy",6,3,5,11,1,,,3.0,,,,,,,,,,,,,,,
8,"Metropolis, Daniel",5,,3,8,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
42,"Morrison, Chad",17,1,7,24,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
21,"Schofield, Jarrad",6,,2,8,1,1.0,,,,,,,,,,,,,,,,,
50,"Turnbull, Ryan",3,1,,3,1,,2.0,,,,,,,,,,,,,,,,
39,"Waterman, Chris",13,3,4,17,2,,,2.0,,,,,,,,,,,,,,,
12,"White, Mitchell",5,3,7,12,1,1.0,,3.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,51,109,292,19,13.0,16.0,35.0,,,,,20.0,20.0,6.0,,,,,,,,
Opposition,Opposition,178,54,103,281,10,8.0,35.0,22.0,,,,,20.0,20.0,,,,,,,,,
