Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
8,"Frost, Sam",28y 204d,130 (49-2-79 38.46%),8 (0.06),39 (13-2-24 35.90%),
24,"Grainger-Barras, Denver",19y 337d,6 (3-1-2 58.33%),,←,
19,"Gunston, Jack",30y 155d,210 (132-1-77 63.10%),401 (1.91),196 (127-1-68 65.05%),381 (1.94)
15,"Hardwick, Blake",25y 43d,103 (49-2-52 48.54%),6 (0.06),←,
9,"Jiath, Changkuoth",22y 280d,24 (7-0-17 29.17%),,←,
2,"Lewis, Mitch",23y 157d,37 (13-2-22 37.84%),50 (1.35),←,
18,"Lynch, Max",23y 189d,4 (3-0-1 75.00%),,1 (1-0-0 100.00%),
31,"Macdonald, Connor",19y 66d,1 (1-0-0 100.00%),,←,
32,"Maginness, Finn",21y 25d,4 (2-0-2 50.00%),1 (0.25),←,
3,"Mitchell, Tom",28y 293d,151 (80-3-68 53.97%),71 (0.47),86 (38-3-45 45.93%),33 (0.38)
13,"Moore, Dylan",22y 228d,31 (10-1-20 33.87%),32 (1.03),←,
1,"Morrison, Harry",23y 128d,58 (26-1-31 45.69%),12 (0.21),←,
11,"Nash, Conor",23y 235d,30 (15-1-14 51.67%),13 (0.43),←,
44,"Newcombe, Jai",20y 230d,8 (4-2-2 62.50%),2 (0.25),←,
10,"OMeara, Jaeger",28y 25d,123 (56-2-65 46.34%),61 (0.50),79 (38-2-39 49.37%),34 (0.43)
21,"Phillips, Tom",25y 317d,112 (59-4-49 54.46%),57 (0.51),23 (8-2-13 39.13%),13 (0.57)
37,"Reeves, Ned",23y 140d,6 (2-1-3 41.67%),1 (0.17),←,
14,"Scrimshaw, Jack",23y 197d,48 (17-1-30 36.46%),4 (0.08),44 (17-1-26 39.77%),4 (0.09)
26,"Shiels, Liam",30y 325d,243 (153-3-87 63.58%),86 (0.35),←,
6,"Sicily, James",27y 73d,94 (51-1-42 54.79%),58 (0.62),←,
25,"Ward, Josh",18y 215d,1 (1-0-0 100.00%),,←,
20,"Wingard, Chad",28y 234d,195 (96-2-97 49.74%),276 (1.42),48 (20-1-27 42.71%),44 (0.92)
5,"Worpel, James",23y 55d,69 (30-2-37 44.93%),26 (0.38),←,
Totals,Totals,24y 165d,1688 (859-32-797 50.89%),1165 (0.69),,
C,"Mitchell, Sam",39y 159d,1 (1-0-0 100.00%),,←,
