Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",5.0,3.0,4.0,9,1.0,1.0,,1.0,,1.0,,1.0,,2.0,,6,4.0,2.0,1.0,1.0,1.0,,
14,"Anderson, Brady",,,2.0,2,,,,,,,1.0,,,1.0,,2,1.0,,,,,,
11,"Archer, Glenn",9.0,2.0,6.0,15,,,,1.0,3.0,,2.0,1.0,1.0,2.0,,9,6.0,,,,,,
26,"Bell, Peter",23.0,8.0,9.0,32,4.0,4.0,,1.0,2.0,4.0,3.0,1.0,5.0,2.0,3.0,14,17.0,1.0,2.0,1.0,1.0,,
12,"Blakey, John",6.0,2.0,3.0,9,1.0,1.0,,1.0,,2.0,2.0,2.0,,,,1,8.0,,1.0,,1.0,,
16,"Capuano, Mathew",5.0,3.0,5.0,10,,1.0,11.0,,2.0,,2.0,1.0,,1.0,,4,6.0,,,,,,
18,"Carey, Wayne",12.0,10.0,8.0,20,2.0,2.0,,3.0,,7.0,,1.0,1.0,2.0,,12,9.0,5.0,4.0,2.0,,,
23,"Clayton, Shane",9.0,,4.0,13,,1.0,,2.0,,6.0,4.0,,2.0,,,5,7.0,,,1.0,,,
6,"Grant, Shannon",12.0,5.0,7.0,19,5.0,,,,2.0,3.0,3.0,3.0,,2.0,1.0,5,15.0,,2.0,,2.0,,
29,"Harvey, Brent",16.0,4.0,5.0,21,1.0,,,,1.0,5.0,6.0,2.0,,,,10,12.0,2.0,,,1.0,,
34,"King, David",11.0,6.0,1.0,12,,,,,4.0,,,2.0,,1.0,,5,7.0,4.0,,2.0,2.0,,
4,"Martyn, Mick",3.0,,,3,,,,,1.0,,,,1.0,1.0,,1,2.0,,,1.0,,,
5,"McCartney, Jason",5.0,3.0,4.0,9,,,,,1.0,1.0,,,,1.0,,6,4.0,,,,,,
31,"McKernan, Corey",9.0,2.0,3.0,12,,1.0,15.0,2.0,,6.0,5.0,1.0,3.0,2.0,,10,2.0,1.0,1.0,1.0,,,
28,"Pickett, Byron",12.0,5.0,5.0,17,,,,4.0,4.0,,1.0,3.0,,1.0,,9,7.0,,,2.0,,,
13,"Pike, Martin",15.0,3.0,3.0,18,,,,,4.0,2.0,1.0,2.0,,,,8,10.0,,,2.0,,,
39,"Rawlings, Brady",2.0,,,2,,,,,,1.0,,,,,,1,1.0,,,1.0,,,
24,"Sholl, Craig",6.0,2.0,4.0,10,1.0,1.0,,2.0,,2.0,,1.0,2.0,,,5,5.0,,2.0,,,,
7,"Simpson, Adam",22.0,6.0,4.0,26,,,4.0,3.0,1.0,9.0,6.0,1.0,,,,13,14.0,2.0,,2.0,,,
10,"Stevens, Anthony",20.0,7.0,4.0,24,,1.0,,2.0,4.0,3.0,3.0,,1.0,1.0,,9,15.0,,,1.0,,,
38,"Stevens, Danny",,,1.0,1,,,,,,,,,,,,1,,,,,,,
30,"Welsh, Scott",9.0,3.0,8.0,17,2.0,1.0,,,,3.0,3.0,2.0,,1.0,,8,8.0,,1.0,1.0,,,
Totals,Totals,211.0,74.0,90.0,301,17.0,14.0,30.0,22.0,29.0,55.0,42.0,24.0,16.0,20.0,4.0,144,160.0,17.0,14.0,18.0,8.0,,
Opposition,Opposition,191.0,81.0,140.0,331,12.0,14.0,23.0,18.0,34.0,52.0,35.0,26.0,20.0,16.0,2.0,114,212.0,9.0,11.0,11.0,14.0,,
