Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
31,"Alvey, Mark",22y 313d,45 (21-1-23 47.78%),28 (0.62),←,
11,"Bandy, Daniel",27y 152d,131 (43-1-87 33.21%),113 (0.86),26 (10-1-15 40.38%),33 (1.27)
12,"Bassett, Scott",24y 192d,19 (11-0-8 57.89%),2 (0.11),4 (1-0-3 25.00%),
20,"Bowden, Patrick",21y 258d,9 (1-0-8 11.11%),3 (0.33),←,
17,"Brown, Nathan",25y 68d,119 (62-2-55 52.94%),166 (1.39),←,
16,"Croft, Matthew",30y 52d,170 (92-4-74 55.29%),55 (0.32),←,
38,"Cross, Daniel",20y 20d,5 (2-1-2 50.00%),1 (0.20),←,
14,"Darcy, Luke",27y 281d,159 (81-3-75 51.89%),115 (0.72),←,
28,"Dimattina, Paul",28y 148d,114 (61-1-52 53.95%),50 (0.44),←,
4,"Garlick, Simon",28y 9d,158 (83-2-73 53.16%),123 (0.78),114 (59-2-53 52.63%),96 (0.84)
13,"Giansiracusa, Daniel",21y 39d,38 (15-1-22 40.79%),42 (1.11),←,
8,"Hahn, Mitch",21y 344d,33 (17-0-16 51.52%),7 (0.21),←,
25,"Hargrave, Ryan",21y 267d,23 (10-1-12 45.65%),5 (0.22),←,
6,"Johnson, Brad",26y 275d,193 (97-4-92 51.30%),234 (1.21),←,
29,"McGuinness, Kieran",19y 285d,6 (2-1-3 41.67%),5 (0.83),←,
23,"McMahon, Jordan",19y 327d,22 (6-1-15 29.55%),15 (0.68),←,
2,"Murphy, Robert",20y 314d,42 (19-1-22 46.43%),10 (0.24),←,
15,"Power, Sam",19y 291d,9 (3-0-6 33.33%),3 (0.33),←,
30,"Robbins, Matthew",25y 346d,60 (29-1-30 49.17%),16 (0.27),53 (25-1-27 48.11%),16 (0.30)
34,"Skipper, Wayde",20y 49d,1 (0-0-1 0.00%),,←,
5,"Smith, Rohan",29y 323d,217 (112-4-101 52.53%),207 (0.95),←,
7,"West, Scott",28y 156d,214 (108-3-103 51.17%),83 (0.39),←,
Totals,Totals,24y 72d,1787 (875-32-880 48.96%),1283 (0.72),,
C,"Rohde, Peter",38y 151d,5 (2-0-3 40.00%),,←,
