North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",23y 13d,109 (61-0-48 55.96%),15 (0.14),←,
50,"Brown, Ben",22y 310d,33 (24-0-9 72.73%),50 (1.52),←,
10,"Cunnington, Ben",24y 88d,123 (68-0-55 55.28%),54 (0.44),←,
15,"Dal Santo, Nick",31y 216d,300 (172-5-123 58.17%),150 (0.50),40 (27-0-13 67.50%),10 (0.25)
11,"Firrito, Michael",31y 303d,253 (129-2-122 51.38%),29 (0.11),←,
27,"Garner, Taylor",21y 261d,13 (9-0-4 69.23%),6 (0.46),←,
43,"Gibson, Sam",29y 122d,85 (51-0-34 60.00%),33 (0.39),←,
22,"Goldstein, Todd",27y 87d,149 (81-1-67 54.70%),70 (0.47),←,
6,"Hansen, Lachlan",27y 40d,133 (68-1-64 51.50%),76 (0.57),←,
29,"Harvey, Brent",37y 135d,409 (223-3-183 54.89%),482 (1.18),←,
4,"Higgins, Shaun",27y 206d,153 (73-1-79 48.04%),167 (1.09),24 (15-0-9 62.50%),39 (1.63)
5,"Jacobs, Ben",23y 260d,70 (31-0-39 44.29%),9 (0.13),44 (26-0-18 59.09%),4 (0.09)
34,"Macmillan, Jamie",24y 3d,81 (45-0-36 55.56%),33 (0.41),←,
20,"Petrie, Drew",32y 346d,293 (147-3-143 50.68%),401 (1.37),←,
9,"Swallow, Andrew",28y 116d,186 (95-1-90 51.34%),76 (0.41),←,
25,"Tarrant, Robbie",26y 154d,61 (32-0-29 52.46%),41 (0.67),←,
12,"Thomas, Lindsay",27y 210d,174 (87-2-85 50.57%),283 (1.63),←,
16,"Thompson, Scott",29y 140d,160 (79-2-79 50.00%),6 (0.04),←,
40,"Turner, Kayne",19y 269d,19 (12-0-7 63.16%),16 (0.84),←,
30,"Waite, Jarrad",32y 234d,207 (81-4-122 40.10%),294 (1.42),23 (15-0-8 65.22%),42 (1.83)
19,"Wright, Sam",25y 73d,108 (59-0-49 54.63%),56 (0.52),←,
7,"Ziebell, Jack",24y 210d,124 (63-0-61 50.81%),72 (0.58),←,
Totals,Totals,27y 73d,3243 (1690-25-1528 52.11%),2419 (0.75),,
C,"Scott, Brad",39y 146d,135 (74-0-61 54.81%),,←,
