Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
11,"Barlow, Ed",22y 159d,18 (7-2-9 44.44%),13 (0.72),←,
42,"Bevan, Paul",24y 281d,103 (58-2-43 57.28%),24 (0.23),←,
14,"Bird, Craig",20y 165d,32 (16-1-15 51.56%),12 (0.38),←,
6,"Bolton, Craig",29y 35d,186 (110-2-74 59.68%),25 (0.13),157 (93-2-62 59.87%),15 (0.10)
24,"Bolton, Jude",29y 112d,225 (122-3-100 54.89%),107 (0.48),←,
34,"Brabazon, Ryan",22y 191d,3 (1-0-2 33.33%),1 (0.33),←,
28,"Crouch, Jared",31y 122d,218 (115-1-102 52.98%),50 (0.23),←,
37,"Goodes, Adam",29y 178d,244 (133-3-108 55.12%),252 (1.03),←,
39,"Grundy, Heath",23y 33d,38 (21-0-17 55.26%),18 (0.47),←,
15,"Jack, Kieren",22y 7d,39 (19-1-19 50.00%),20 (0.51),←,
16,"Jolly, Darren",27y 241d,158 (84-2-72 53.80%),66 (0.42),110 (64-2-44 59.09%),55 (0.50)
31,"Kirk, Brett",32y 253d,209 (116-3-90 56.22%),81 (0.39),←,
9,"Malceski, Nick",24y 324d,67 (44-1-22 66.42%),35 (0.52),←,
29,"Mattner, Martin",26y 333d,136 (79-1-56 58.46%),26 (0.19),38 (19-1-18 51.32%),12 (0.32)
3,"McVeigh, Jarrad",24y 89d,118 (67-2-49 57.63%),84 (0.71),←,
5,"OKeefe, Ryan",28y 162d,178 (101-2-75 57.30%),186 (1.04),←,
19,"OLoughlin, Michael",32y 135d,295 (169-4-122 57.97%),507 (1.72),←,
25,"Richards, Ted",26y 175d,117 (65-2-50 56.41%),30 (0.26),84 (46-2-36 55.95%),11 (0.13)
30,"Roberts-Thomson, Lewis",25y 300d,111 (66-1-44 59.91%),13 (0.12),←,
2,"Shaw, Rhyce",27y 262d,108 (54-0-54 50.00%),24 (0.22),14 (6-0-8 42.86%),4 (0.29)
40,"Smith, Nick",21y 23d,5 (1-0-4 20.00%),1 (0.20),←,
13,"Veszpremi, Patrick",19y 307d,8 (4-0-4 50.00%),10 (1.25),←,
Totals,Totals,26y 11d,2616 (1452-33-1131 55.50%),1585 (0.61),,
C,"Roos, Paul",46y 8d,170 (100-2-68 59.41%),,←,
