Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",29y 214d,135 (64-1-70 47.78%),69 (0.51),←,
12,"Boekhorst, Blaine",22y 325d,15 (2-0-13 13.33%),7 (0.47),←,
7,"Buckley, Dylan",23y 129d,33 (8-0-25 24.24%),10 (0.30),←,
41,"Casboult, Levi",26y 130d,67 (23-1-43 35.07%),66 (0.99),←,
9,"Cripps, Patrick",21y 127d,39 (10-1-28 26.92%),12 (0.31),←,
30,"Curnow, Charlie",19y 171d,6 (1-0-5 16.67%),5 (0.83),←,
35,"Curnow, Ed",26y 259d,105 (45-2-58 43.81%),16 (0.15),←,
15,"Docherty, Sam",22y 280d,65 (21-1-43 33.08%),10 (0.15),52 (15-1-36 29.81%),9 (0.17)
4,"Gibbs, Bryce",27y 130d,204 (88-2-114 43.63%),118 (0.58),←,
32,"Graham, Nick",22y 41d,24 (7-0-17 29.17%),5 (0.21),←,
11,"Kerridge, Sam",23y 88d,44 (19-0-25 43.18%),28 (0.64),17 (6-0-11 35.29%),5 (0.29)
8,"Kreuzer, Matthew",27y 71d,135 (64-0-71 47.41%),70 (0.52),←,
34,"Phillips, Andrew",25y 20d,25 (4-0-21 16.00%),9 (0.36),11 (2-0-9 18.18%),4 (0.36)
20,"Plowman, Lachie",21y 316d,34 (10-0-24 29.41%),1 (0.03),14 (6-0-8 42.86%),
17,"Rowe, Sam",28y 247d,68 (22-1-45 33.09%),15 (0.22),←,
2,"Silvagni, Jack",18y 219d,4 (0-0-4 0.00%),3 (0.75),←,
6,"Simpson, Kade",32y 79d,259 (101-3-155 39.58%),127 (0.49),←,
19,"Sumner, Liam",22y 342d,25 (7-0-18 28.00%),15 (0.60),13 (5-0-8 38.46%),6 (0.46)
42,"Tuohy, Zach",26y 226d,115 (47-1-67 41.30%),37 (0.32),←,
23,"Weitering, Jacob",18y 243d,15 (4-0-11 26.67%),2 (0.13),←,
43,"White, Simon",28y 36d,71 (29-2-40 42.25%),12 (0.17),←,
46,"Wright, Matthew",26y 222d,111 (55-0-56 49.55%),79 (0.71),17 (6-0-11 35.29%),16 (0.94)
Totals,Totals,24y 228d,1599 (631-15-953 39.46%),716 (0.45),,
C,"Bolton, Brendon",37y 96d,22 (11-0-11 50.00%),,17 (6-0-11 35.29%),
