Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"AhMat, Matthew",2,,,2,,,,1.0,,,,,1.0,,,,,,,,,,
22,"Bain, David",19,3,4,23,,,,1.0,,,,,,,,,,,,,,,
25,"Campbell, Matthew",9,3,5,14,,,,,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",13,2,7,20,,,,,,,,,3.0,1.0,,,,,,,,,
12,"Clarke, Troy",9,6,12,21,,,,,,,,,,,,,,,,,,,
34,"Green, Ashley",6,4,3,9,,,,1.0,,,,,1.0,,,,,,,,,,
14,"Hamilton, Shane",23,7,12,35,,,,,,,,,,,,,,,,,,,
11,"Hutton, John",11,6,4,15,8,,,,,,,,2.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",8,6,4,12,1,,2.0,1.0,,,,,,,,,,,,,,,
17,"Leslie, Martin",9,7,8,17,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,
16,"Luhrs, Simon",8,7,12,20,,,9.0,,,,,,1.0,2.0,,,,,,,,,
40,"McLuckie, Steven",11,6,12,23,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",,,,,,,,1.0,,,,,,,,,,,,,,,
26,"Noonan, Danny",16,9,9,25,,,,,,,,,,1.0,,,,,,,,,
44,"Palfreyman, Nigel",11,5,6,17,,1.0,,1.0,,,,,,1.0,,,,,,,,,
13,"Potter, Craig",7,1,8,15,,,,5.0,,,,,1.0,2.0,,,,,,,,,
6,"Retzlaff, Brendon",13,8,6,19,,,,,,,,,1.0,,,,,,,,,,
13,"Shephard, Heath",6,2,1,7,1,,,4.0,,,,,,1.0,,,,,,,,,
28,"Windsor, Ray",10,4,2,12,,3.0,,2.0,,,,,,2.0,,,,,,,,,
21,"Zanotti, Mark",7,3,3,10,,2.0,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,89,118,316,11,9.0,12.0,22.0,,,,,12.0,15.0,,,,,,,,,
Opposition,Opposition,254,101,104,358,37,17.0,32.0,24.0,,,,,16.0,12.0,6.0,,,,,,,,
