Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
17,"Brown, Nathan",20y 208d,25 (16-0-9 64.00%),16 (0.64),←,
18,"Cameron, Leon",26y 4d,154 (84-2-68 55.19%),61 (0.40),←,
16,"Croft, Matthew",25y 192d,86 (50-2-34 59.30%),42 (0.49),←,
11,"Curley, Todd",25y 235d,54 (27-1-26 50.93%),31 (0.57),51 (25-1-25 50.00%),30 (0.59)
14,"Darcy, Luke",23y 56d,70 (37-1-32 53.57%),49 (0.70),←,
21,"Dent, Matthew",26y 232d,87 (31-0-56 35.63%),17 (0.20),40 (27-0-13 67.50%),8 (0.20)
4,"Garlick, Simon",23y 149d,67 (40-0-27 59.70%),35 (0.52),23 (16-0-7 69.57%),8 (0.35)
3,"Grant, Chris",25y 267d,188 (100-3-85 53.99%),355 (1.89),←,
9,"Hudson, Paul",28y 48d,176 (106-0-70 60.23%),347 (1.97),42 (26-0-16 61.90%),83 (1.98)
6,"Johnson, Brad",22y 50d,99 (50-2-47 51.52%),74 (0.75),←,
2,"Kolyniuk, Steven",28y 63d,160 (84-1-75 52.81%),180 (1.13),←,
35,"Kretiuk, Steven",26y 64d,97 (57-1-39 59.28%),9 (0.09),←,
39,"Liberatore, Tony",32y 207d,205 (109-3-93 53.90%),89 (0.43),←,
23,"Martin, Michael",21y 193d,40 (23-1-16 58.75%),14 (0.35),←,
1,"Minton-Connell, Simon",29y 133d,111 (36-0-75 32.43%),305 (2.75),24 (16-0-8 66.67%),53 (2.21)
10,"Montgomery, Brett",25y 97d,36 (25-0-11 69.44%),39 (1.08),←,
36,"Romero, Jose",27y 36d,172 (92-1-79 53.78%),146 (0.85),83 (43-1-39 52.41%),48 (0.58)
5,"Smith, Rohan",25y 98d,122 (66-2-54 54.92%),93 (0.76),←,
34,"West, Mark",25y 156d,15 (10-0-5 66.67%),2 (0.13),←,
7,"West, Scott",23y 296d,125 (66-1-58 53.20%),46 (0.37),←,
24,"Wira, Brad",26y 174d,61 (30-1-30 50.00%),4 (0.07),60 (30-1-29 50.83%),4 (0.07)
15,"Wynd, Scott",28y 224d,191 (98-3-90 52.09%),28 (0.15),←,
Totals,Totals,25y 277d,2341 (1237-25-1079 52.84%),1982 (0.85),,
C,"Wallace, Terry",39y 267d,57 (34-0-23 59.65%),,←,
