Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Ash, Lachie",11,1,10,21,,,,1.0,2.0,1.0,1.0,6.0,1.0,2.0,,3.0,15.0,,,,2.0,1.0,90.0
44,"Buckley, Jack",7,5,4,11,,,,3.0,3.0,3.0,,2.0,1.0,,,4.0,7.0,,,11.0,,,86.0
17,"Callaghan, Finn",15,6,10,25,,,,,4.0,1.0,3.0,1.0,,,,6.0,19.0,1.0,1.0,1.0,,1.0,84.0
3,"Coniglio, Stephen",20,3,12,32,1,1.0,,1.0,1.0,9.0,8.0,2.0,,,1.0,11.0,21.0,,,,1.0,1.0,88.0
13,"Cumming, Isaac",12,3,9,21,,,,,7.0,1.0,,2.0,2.0,,,8.0,8.0,,,3.0,1.0,,87.0
16,"Daniels, Brent",6,2,3,9,2,1.0,,5.0,,3.0,,1.0,3.0,,,7.0,3.0,,1.0,,,1.0,82.0
30,"Flynn, Matt",3,1,5,8,1,1.0,25.0,3.0,,,2.0,5.0,,3.0,,6.0,3.0,,1.0,3.0,,,79.0
4,"Greene, Toby",13,8,6,19,4,4.0,,4.0,,5.0,,4.0,2.0,1.0,,6.0,14.0,1.0,3.0,,1.0,1.0,91.0
12,"Green, Tom",19,6,18,37,1,,,4.0,3.0,4.0,8.0,5.0,1.0,2.0,3.0,15.0,23.0,,,,,,86.0
19,"Haynes, Nick",13,8,2,15,1,,,,4.0,2.0,,,,,,2.0,10.0,2.0,1.0,3.0,,,74.0
27,"Himmelberg, Harry",7,5,,7,1,,,2.0,1.0,2.0,,1.0,,,,2.0,4.0,1.0,1.0,,,,74.0
23,"Hogan, Jesse",7,4,6,13,3,1.0,2.0,1.0,,2.0,,3.0,,1.0,,6.0,6.0,,3.0,5.0,,,89.0
39,"Idun, Connor",8,5,12,20,,,,,2.0,1.0,,,,,,6.0,11.0,,,5.0,,,89.0
22,"Kelly, Josh",12,7,14,26,,,,2.0,2.0,5.0,7.0,7.0,1.0,1.0,2.0,10.0,18.0,,,4.0,,,68.0
40 ↑,"Kennedy, Adam",9,4,3,12,,,,2.0,,4.0,1.0,1.0,2.0,1.0,,4.0,9.0,,1.0,1.0,,1.0,77.0
38,"Lloyd, Daniel",4,2,6,10,,1.0,,4.0,,2.0,,2.0,,1.0,,4.0,5.0,,,1.0,,1.0,88.0
20,"Peatling, James",5,2,3,8,,1.0,,4.0,,3.0,,1.0,1.0,1.0,,3.0,6.0,,,3.0,,1.0,82.0
36 ↓,"Perryman, Harry",,,1,1,,,,,,,,,,,,,1.0,,,,,,3.0
26,"Riccardi, Jake",6,4,4,10,,1.0,1.0,1.0,,3.0,,1.0,,,,2.0,7.0,2.0,1.0,2.0,,1.0,72.0
15,"Taylor, Sam",7,3,3,10,,,,1.0,1.0,2.0,,2.0,3.0,1.0,,7.0,4.0,1.0,,5.0,,,93.0
8,"Ward, Callan",12,4,19,31,1,2.0,,,1.0,5.0,4.0,3.0,1.0,,,12.0,19.0,,3.0,,,,79.0
10,"Wehr, Jacob",5,3,7,12,,,,2.0,3.0,2.0,,1.0,1.0,1.0,,2.0,12.0,,,,,,88.0
6,"Whitfield, Lachie",7,2,10,17,,,,,4.0,,1.0,3.0,1.0,,,3.0,11.0,,,2.0,,,48.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,88,167,375,15,16.0,28.0,40.0,38.0,60.0,35.0,53.0,20.0,15.0,6.0,129.0,236.0,8.0,16.0,49.0,5.0,9.0,
Opposition,Opposition,217,102,101,318,12,18.0,40.0,40.0,44.0,52.0,33.0,54.0,15.0,20.0,,111.0,199.0,9.0,15.0,42.0,3.0,10.0,
