Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Burton, Brett",15,9,9,24,2,,,2.0,1.0,4.0,3.0,6.0,2.0,2.0,,13.0,10.0,3.0,1.0,3.0,,1.0,87.0
11,"Doughty, Michael",7,4,7,14,,,1.0,4.0,,3.0,1.0,1.0,2.0,,,4.0,10.0,,,1.0,,,46.0
26,"Douglas, Richard",5,1,4,9,,,,5.0,,4.0,1.0,4.0,,2.0,,5.0,5.0,,,1.0,,1.0,60.0
9,"Edwards, Tyson",18,6,7,25,1,,,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,13.0,13.0,,,,,,86.0
1,"Gill, Nick",7,4,1,8,1,1.0,,4.0,,3.0,,,,,,3.0,5.0,2.0,2.0,1.0,,,90.0
36,"Goodwin, Simon",24,2,15,39,1,,3.0,3.0,2.0,4.0,7.0,4.0,1.0,2.0,3.0,13.0,23.0,1.0,,1.0,,,93.0
13,"Hudson, Ben",8,1,8,16,,,19.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,,9.0,6.0,,,2.0,,,64.0
18,"Johncock, Graham",4,2,3,7,,,,5.0,1.0,2.0,1.0,,,,,3.0,4.0,,,4.0,,1.0,92.0
21,"Knights, Chris",12,4,13,25,,2.0,2.0,6.0,1.0,4.0,2.0,1.0,2.0,,,7.0,18.0,,,,,,66.0
20,"Maric, Ivan",5,3,3,8,,,8.0,5.0,,1.0,,,,,,2.0,6.0,,,,,,41.0
3,"Massie, Kris",7,6,10,17,,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,6.0,10.0,,,1.0,,,100.0
39,"Mattner, Martin",10,4,4,14,,1.0,,3.0,4.0,3.0,,2.0,1.0,1.0,,5.0,10.0,,,1.0,1.0,,100.0
16,"McGregor, Ken",,1,2,2,,,,,,,,2.0,,1.0,,1.0,1.0,,,1.0,,,42.0
23,"McLeod, Andrew",14,2,6,20,1,1.0,,,5.0,4.0,1.0,,,,,6.0,12.0,,,1.0,,,100.0
22,"Perrie, Ian",8,4,1,9,,,3.0,,2.0,,,,2.0,,,4.0,5.0,,,4.0,,,85.0
40,"Porplyzia, Jason",9,6,5,14,,3.0,,2.0,,2.0,3.0,1.0,,,,10.0,4.0,4.0,4.0,2.0,,1.0,92.0
12,"Shirley, Robert",6,3,9,15,,,,3.0,,2.0,3.0,2.0,,,,7.0,8.0,,,,,,78.0
27,"Stevens, Scott",19,8,3,22,,,1.0,2.0,7.0,,1.0,4.0,,2.0,,6.0,14.0,,,7.0,,,100.0
5,"Thompson, Scott",7,4,12,19,,,,6.0,,3.0,1.0,3.0,,1.0,,5.0,15.0,1.0,1.0,1.0,,,96.0
15,"Torney, Jason",13,9,7,20,2,,,3.0,,5.0,1.0,2.0,,1.0,,3.0,17.0,,1.0,1.0,,1.0,100.0
7,"van Berlo, Nathan",6,2,7,13,,2.0,1.0,8.0,,3.0,3.0,3.0,2.0,1.0,,6.0,7.0,,,3.0,,,94.0
17,"Welsh, Scott",5,1,7,12,1,,,2.0,,2.0,3.0,2.0,1.0,2.0,,11.0,1.0,1.0,1.0,2.0,,1.0,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,9.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,86,143,352,9,19.0,41.0,74.0,30.0,58.0,40.0,43.0,18.0,18.0,4.0,142.0,204.0,12.0,10.0,37.0,1.0,6.0,
Opposition,Opposition,187,72,129,316,10,5.0,37.0,77.0,40.0,40.0,37.0,62.0,18.0,18.0,2.0,123.0,179.0,8.0,5.0,55.0,12.0,5.0,
