Notes,Previous,Current
Gold Coast's lowest score,"52 v Carlton - R2,2011","20 v Port Adelaide - R23,2017"
Gold Coast's lowest score conceded,"171 v Carlton - R2,2011","23 v Richmond - R22,2025"
