Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
36,"Browne, Andrew",24y 59d,23 (8-0-15 34.78%),6 (0.26),←,
2,"Carr, Josh",28y 74d,182 (113-1-68 62.36%),98 (0.54),77 (36-0-41 46.75%),38 (0.49)
15,"Crowley, Ryan",24y 129d,65 (29-0-36 44.62%),51 (0.78),←,
25,"Dodd, Steven",25y 22d,70 (33-0-37 47.14%),4 (0.06),←,
33,"Farmer, Jeff",31y 18d,243 (111-0-132 45.68%),479 (1.97),125 (59-0-66 47.20%),220 (1.76)
14,"Grover, Antoni",28y 123d,142 (62-0-80 43.66%),18 (0.13),←,
19,"Hinkley, Clayton",19y 142d,4 (0-0-4 0.00%),2 (0.50),←,
35,"Ibbotson, Garrick",20y 119d,13 (2-0-11 15.38%),6 (0.46),←,
17,"Johnson, Mark",30y 50d,201 (113-2-86 56.72%),93 (0.46),7 (1-0-6 14.29%),1 (0.14)
37,"Johnson, Michael",23y 266d,67 (33-0-34 49.25%),12 (0.18),←,
23,"Mayne, Chris",19y 253d,10 (2-0-8 20.00%),8 (0.80),←,
18,"McPharlin, Luke",26y 224d,126 (64-0-62 50.79%),81 (0.64),114 (56-0-58 49.12%),78 (0.68)
16,"Mundy, David",22y 358d,79 (37-0-42 46.84%),17 (0.22),←,
10,"Palmer, Rhys",19y 150d,14 (2-0-12 14.29%),6 (0.43),←,
29,"Pavlich, Matthew",26y 194d,190 (81-0-109 42.63%),366 (1.93),←,
7,"Peake, Brett",25y 7d,51 (26-0-25 50.98%),24 (0.47),←,
31,"Sandilands, Aaron",25y 219d,108 (54-0-54 50.00%),32 (0.30),←,
3,"Schammer, Byron",23y 21d,98 (52-0-46 53.06%),27 (0.28),←,
6,"Solomon, Dean",28y 185d,191 (102-1-88 53.66%),74 (0.39),33 (10-0-23 30.30%),18 (0.55)
20,"Tarrant, Chris",27y 298d,194 (85-0-109 43.81%),351 (1.81),33 (10-0-23 30.30%),52 (1.58)
22,"Thornton, Scott",25y 305d,66 (29-0-37 43.94%),7 (0.11),←,
34,"Warnock, Robert",21y 175d,19 (8-0-11 42.11%),4 (0.21),←,
Totals,Totals,24y 320d,2156 (1046-4-1106 48.52%),1766 (0.82),,
C,"Harvey, Mark",43y 31d,22 (6-0-16 27.27%),,←,
