Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 63d,104 (41-0-63 39.42%),270 (2.60),←,
35,"Corr, Aidan",23y 17d,45 (18-0-27 40.00%),1 (0.02),←,
1,"Davis, Phil",26y 277d,107 (49-0-58 45.79%),6 (0.06),89 (38-0-51 42.70%),5 (0.06)
24,"de Boer, Matt",27y 85d,141 (81-1-59 57.80%),50 (0.35),3 (3-0-0 100.00%),2 (0.67)
4,"Greene, Toby",23y 251d,107 (42-0-65 39.25%),104 (0.97),←,
27,"Himmelberg, Harry",21y 26d,8 (7-0-1 87.50%),1 (0.13),←,
22,"Kelly, Josh",22y 111d,71 (39-0-32 54.93%),41 (0.58),←,
15,"Kennedy, Matthew",20y 58d,10 (7-0-3 70.00%),5 (0.50),←,
38,"Lloyd, Daniel",25y 105d,4 (4-0-0 100.00%),3 (0.75),←,
41,"Mumford, Shane",30y 333d,162 (107-2-53 66.67%),48 (0.30),62 (38-0-24 61.29%),9 (0.15)
12,"Patton, Jonathon",24y 14d,64 (31-0-33 48.44%),91 (1.42),←,
36,"Perryman, Harry",18y 166d,3 (3-0-0 100.00%),1 (0.33),←,
50,"Reid, Sam",27y 208d,39 (21-0-18 53.85%),18 (0.46),29 (15-0-14 51.72%),17 (0.59)
9,"Scully, Tom",26y 19d,137 (54-1-82 39.78%),65 (0.47),106 (41-0-65 38.68%),59 (0.56)
23,"Shaw, Heath",31y 188d,248 (153-2-93 62.10%),39 (0.16),75 (43-0-32 57.33%),2 (0.03)
5,"Shiel, Dylan",24y 86d,98 (40-0-58 40.82%),52 (0.53),←,
14,"Taranto, Tim",19y 126d,10 (8-0-2 80.00%),4 (0.40),←,
20,"Tomlinson, Adam",23y 297d,78 (27-0-51 34.62%),19 (0.24),←,
8,"Ward, Callan",27y 54d,178 (77-0-101 43.26%),87 (0.49),118 (45-0-73 38.14%),54 (0.46)
6,"Whitfield, Lachie",22y 320d,76 (32-0-44 42.11%),35 (0.46),←,
29,"Williams, Zac",22y 256d,64 (33-0-31 51.56%),19 (0.30),←,
16,"Wilson, Nathan",24y 147d,63 (34-0-29 53.97%),14 (0.22),←,
Totals,Totals,24y 146d,1817 (908-6-903 49.97%),973 (0.54),,
C,"Cameron, Leon",44y 274d,79 (43-0-36 54.43%),,←,
